Building Number,Name,Res or non-res,Ownership,Year Constructed,Age,Estimated replacement cost,Last Renovation Cost,Last Renovation Year,Building Cond,Air Cond,Accessible Area,Assignable Area,Gross Area,Building Cost,Number of Floors,Last Update,,,,,,,,
221,413 E HOWARD STREET,1,1,1940,77,377717,,,2,1,192,2392,2669,5000,3,0,,,,,,,,
113,ANNE BELK HALL,1,1,1968,49,23520365,3225000,5,1,6,57351,57351,142672,5128000,3,9,,,,,,,,
434,APPALACHIAN ATH CTR,1,1,2009,8,42420196,,,1,6,66633,66633,123500,36128851,7,11,,,,,,,,
453,APPALACHIAN HALL,1,1,2013,4,8591762,,,1,6,7836,7836,18022,7935951,3,13,,,,,,,,
358,APPALACHIAN HTS. APT,2,2,1994,23,16354545,,,1,1,90242,90818,96121,7730600,4,95,,,,,,,,
332,AUXILIARY WAREHOUSE,1,1,1987,30,1474517,,,1,1,9954,9954,10410,326500,1,0,,,,,,,,
439,BASEBALL FIELDHOUSE,1,1,2009,8,951787,,,1,6,2051,2051,2773,810627,1,9,,,,,,,,
438,BASEBALL INDOOR BATT,1,1,2009,8,192448,,,1,6,3750,3750,4000,163905,1,9,,,,,,,,
437,BASEBALL PRESS BOX,1,1,2009,8,961418,,,1,6,1487,1487,2350,818830,1,9,,,,,,,,
277,BEASLEY MEDIA COMPLX,1,2,1945,72,2442530,,,1,6,11780,11780,26758,1000000,3,13,,,,,,,,
239,BELK HALL,2,2,1980,37,4945750,,,1,1,21129,21129,34000,1447000,5,82,,,,,,,,
411,BELK LIBRARY,1,1,2005,12,73958760,,,1,6,104275,104275,210000,47586900,5,5,,,,,,,,
361,BIOLOGY GREENHOUSE,1,2,1996,21,264403,,,1,3,2423,2423,2800,62500,1,0,,,,,,,,
302,BOWIE HALL,2,2,1966,51,8021325,,,1,1,33699,33699,54384,781000,9,73,,,,,,,,
108,BROCK CHLD DEV CTR,1,1,1965,52,566578,,,2,1,2813,2813,3051,83000,1,0,,,,,,,,
401,BROYHILL CENTER,1,2,1973,44,25215899,308443,0,1,6,54897,55437,109655,4751557,2,13,,,,,,,,
119,BROYHILL MUSIC CTR,1,1,1983,34,21599865,10000,93,1,6,47677,47677,90000,7667500,4,93,,,,,,,,
650,CAMP BROADSTONE,1,1,1973,44,2273189,,,1,1,10402,10402,13105,634980,1,98,,,,,,,,
314,CANNON HALL,2,2,1968,49,8893456,,,1,1,4267,39947,58803,941000,8,73,,,,,,,,
300,CHANCELLOR RESIDENCE,2,1,2002,15,3435617,,,1,6,4096,4096,12000,1900000,2,4,,,,,,,,
236,CHEMICAL STORAGE,1,1,1977,40,314850,,,1,1,1023,1023,1100,50000,1,0,,,,,,,,
270,CHILD CARE CENTER,1,4,1928,89,1323901,5000,93,1,1,2262,2262,7010,,3,0,,,,,,,,
123,COLL OF BUS (RALEY),1,1,1990,27,31767553,,,1,1,71988,71988,130000,10065500,4,0,,,,,,,,
425,COLLEGE ST PRK DECK,1,1,2007,10,4479483,,,1,1,0,0,97744,4137563,5,13,,,,,,,,
306,COLTRANE HALL,2,2,1968,49,9385302,,,1,6,37403,38217,55434,1361670,9,94,,,,,,,,
315,CONE HALL,2,2,1968,49,8893456,,,1,1,3752,39431,58803,941000,8,73,,,,,,,,
106,D D DOUGHERTY LIB,1,1,1935,82,8081131,31150,84,3,2,17674,17674,41278,400000,2,0,,,,,,,,
363,DARK SKY OBSERVATORY,1,1,1980,37,881826,,,1,1,4884,4884,5084,258000,1,98,,,,,,,,
209,DOUGHERTY ADMIN BLDG,1,1,1968,49,8030621,1550000,3,1,6,9567,19400,35026,575000,3,3,,,,,,,,
307,DOUGHTON HALL,2,2,1963,54,7543404,5400000,6,1,1,5207,37921,49114,737000,7,7,,,,,,,,
103,DUNCAN HALL,1,1,1965,52,13385234,120000,88,2,3,50438,50543,81887,1175000,3,0,,,,,,,,
308,EAST HALL,2,2,1952,65,11827788,,,2,1,6581,55351,78828,1450000,3,85,,,,,,,,
331,EGGERS HALL,2,2,1970,47,8865355,,,1,1,3838,34607,57721,1150000,9,75,,,,,,,,
340,FARTHING AUD,1,1,1974,43,11069365,,,1,6,31048,31125,43688,1926300,2,93,,,,,,,,
212,FOUNDERS HALL,1,1,1932,85,4126995,1044100,3,2,3,10869,10869,16400,115000,3,3,,,,,,,,
238,FRANK HALL,2,2,1980,37,5991634,,,1,1,25866,25896,40900,1753000,6,82,,,,,,,,
225,GARAGE & GROUNDS,1,1,1975,42,1605769,,,1,1,9887,9887,13070,288000,1,0,,,,,,,,
305,GARDNER HALL,2,2,1968,49,11992841,,,1,6,5357,33992,53977,1395863,9,94,,,,,,,,
364,GARWOOD HALL,1,2,1998,19,40721800,,,1,6,61001,64352,114810,16385481,4,14,,,,,,,,
998,GREENHOUSE,1,1,1994,23,47213,1400,95,1,6,2178,2178,2240,10000,1,0,,,,,,,,
105,GREER HALL,1,1,1950,67,8483868,58100,83,1,1,30178,30178,45707,565000,2,0,,,,,,,,
309,HOEY HALL,2,2,1966,51,6920749,,,1,1,37228,37228,45060,712000,7,75,,,,,,,,
365,HOLMES CONVOCAT'N CT,1,2,2001,16,70264514,,,1,6,73846,136477,200840,37800000,2,1,,,,,,,,
359,JOHN E THOMAS HALL,1,2,1996,21,20226813,,,1,6,34971,43204,76500,8794900,3,13,,,,,,,,
303,JUSTICE HALL,2,1,1952,65,9540383,,,2,1,38025,38025,62116,737000,4,85,,,,,,,,
112,KATHERIN HARPER HALL,1,1,1961,56,11011454,13162,92,1,1,49876,49876,77193,2878208,2,11,,,,,,,,
