Building Num.,Building Name,Address,GSF,Status,Construction Date,Construction Cost,Renovation Date,Renovation Cost,Age,FCI,Usage,LEED Certification,LEED Certification Year,X,Y,,,,,,,,,
,3-D Arts Studio Building,1161-F W Samford Av,"19,397",,2002,,,,15,,,,,,,,,,,,,,,
,ACES Storage Building,980 Camp Auburn Rd,"3,228",,,,,,2017,,,,,,,,,,,,,,,
,Advanced Engineering Research Lab,344 War Eagle Way,"84,315",,2011,"25,000,000",,,6,,,,,,,,,,,,,,,
,Ag Heritage Park:Herdsman House,620-A S Donahue Dr,"3,676",,2005,,,,12,,,,,,,,,,,,,,,
,Agricultural Heritage Park,580-B S Donahue Dr,"7,001",,2005,,,,12,,,,,,,,,,,,,,,
,ALFA Ag Services and Research Bldg,961 S Donahue Dr,"22,307",,2004,,,,13,,,,,,,,,,,,,,,
,Allison Physics Labs,381 Roosevelt Conc,"37,510",,1963,,,,54,,,,,,,,,,,,,,,
,Alpha Gamma Rho,831 Lem Morrison Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Alpha Psi,,,,,,,,2017,,,,,,,,,,,,,,,
,Alpha Tau Delta,848 Lem Morrison Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Alpha Tau Omega,118 Thomas St,,,,,,,2017,,,,,,,,,,,,,,,
,Alumni Center,317 S College St,"40,727",,1989,,,,28,,,,,,,,,,,,,,,
,Andrews Forestry Research Laboratory,515 Devall Dr,,,,,,,2017,,,,,,,,,,,,,,,
,"Announcer's Box, Arena",,,,,,,,2017,,,,,,,,,,,,,,,
,Arboretum Storage,261 Lem Morrison Dr,977,,1976,,,,41,,,,,,,,,,,,,,,
,Athletic Complex,392 S Donahue Dr,"100,190",,1989,"30,000,000",,,28,,,,,,,,,,,,,,,
,AU Hotel and Dixon Conference Center,241 S College St,"172,536",,1988,"8,025,000",,,29,,,,,,,,,,,,,,,
,AU Impound Lot Guard Shack,913 Linden Dr,67,,2011,,,,6,,,,,,,,,,,,,,,
,Aubie Hall (The Village),201-H Wire Rd,"107,930",,2009,,,,8,,,,,,,,,,,,,,,
,Auburn University Medical Clinic,400 Lem Morrison Dr,"42,861",,2004,,,,13,,,,,,,,,,,,,,,
,Auburn University Regional Airport,,,,,,,,2017,,,,,,,,,,,,,,,
,Bailey Small Animal Teaching Hospital,1220 Wire Rd,"216,943",,2014,"8,600,000",,,3,,,,,,,,,,,,,,,
,Band Field,,,,,,,,2017,,,,,,,,,,,,,,,
,Band Field Pavilion,,,,,,,,2017,,,,,,,,,,,,,,,
,Band Field Storage Trailer 1,,,,,,,,2017,,,,,,,,,,,,,,,
,Band Field Storage Trailer 2,,,,,,,,2017,,,,,,,,,,,,,,,
,Band Field Storage Trailer 3,,,,,,,,2017,,,,,,,,,,,,,,,
,Barn (State),977 Simms Rd,,,,,,,2017,,,,,,,,,,,,,,,
,"Barn, Assisted Reproductive Tech",917 Simms Rd,"2,160",,,,,,2017,,,,,,,,,,,,,,,
,"Barn, Horse & Sheep",1235 Wire Rd,"7,977",,1960,,,,57,,,,,,,,,,,,,,,
,Bartlett Lameness Arena,1500-A Wire Rd,"15,462",,2003,,,,14,,,,,,,,,,,,,,,
,Basketball Arena,250 Beard-Eaves Ct,"276,513",,2010,,,,7,,,,,,,,,,,,,,,
,Bat House,677 S Donahue Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Beard Courts,654 Biggio Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Beard-Eaves Memorial Coliseum,650 Biggio Dr,"369,027",demolished,1969,,,,48,,,,,,,,,,,,,,,
,BERL - Biological Eng Rsrch Lab,352 Mell St,"21,415",,1949,,,,68,,,,,,,,,,,,,,,
,Beta Theta Pi,930 Lem Morrison Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Beta Theta Pi Activities Building,930 Lem Morrison Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Biggin Hall,112 S College St,"53,596",,1951,,,,66,,,,,,,,,,,,,,,
,Biodiversity Learning Center,381 Mell St,,,,,,,2017,,,,,,,,,,,,,,,
,Biological Research Facility,362 Mell St,"17,427",,1988,,,,29,,,,,,,,,,,,,,,
,Boyd Residence Hall (Dorm J),280 P.O. Davis Dr,"60,598",,1967,,,,50,,,,,,,,,,,,,,,
,Broun (Katie) Residence Hall (Dorm 02),246 Mell St,"29,697",,1938,,2017,"5,000,000",79,,,,,,,,,,,,,,,
,Broun Hall (Electrical Engineering),341 War Eagle Way,"101,458",,1983,,,,34,,,,,,,,,,,,,,,
,Bull Testing Facility,405-A Shug Jordan Pkwy,"11,365",,2001,,,,16,,,,,,,,,,,,,,,
,Burton Hall,305 W Samford Av,"14,655",,1967,,,,50,,,,,,,,,,,,,,,
,Cambridge Dormitory,132 E Thach Av,"72,648",,,,,,2017,,,,,,,,,,,,,,,
,Campus Recreation Trailer 1,,,,,,,,2017,,,,,,,,,,,,,,,
,Campus Recreation Trailer 2,,,,,,,,2017,,,,,,,,,,,,,,,
,Carson Barn - Beef Receiving,1500-F Wire Rd,"9,708",,2005,,,,12,,,,,,,,,,,,,,,
,Cary Hall,422 Thach Conc,"26,957",,1940,,,,77,,,,,,,,,,,,,,,
,Cater Hall,277 Thach Conc,"8,911",,1915,,,,102,,,,,,,,,,,,,,,
,"Center for Children, Youth and Families",314 Quad Dr,"4,659",,1956,,,,61,,,,,,,,,,,,,,,
,Charles E. Davis Aerospace Engineering Hall,141 Engineering Dr,"73,190",,1992,,,,25,,,,,,,,,,,,,,,
,Chemical Storage,,,,,,,,2017,,,,,,,,,,,,,,,
,Chemistry Building,354 Mell St,"72,244",,1989,,,,28,,,,,,,,,,,,,,,
,Chi Phi,319 N. College St.,,,,,,,2017,,,,,,,,,,,,,,,
,Chilled Water Plant 1,122 Wilmore Dr,"6,498",,1925,,,,92,,,,,,,,,,,,,,,
,Chilled Water Plant 3,777 Plant Rd,"6,479",,1988,,,,29,,,,,,,,,,,,,,,
,Chilled Water Plant II: Cooling,350 Duncan Dr,"12,807",,1986,,,,31,,,,,,,,,,,,,,,
,Coccidiosis Laboratory,395-A Woodfield Dr,953,,1994,,,,23,,,,,,,,,,,,,,,
,Comer Hall,181 Roosevelt Dr,"42,625",,1910,,,,107,,,,,,,,,,,,,,,
,Community Room Building,563 War Eagle Way,"1,988",,2011,,,,6,,,,,,,,,,,,,,,
,Corley Building and Agricultural Engineering Annex,350 Mell St,"23,265",,1939,,,,78,,,,,,,,,,,,,,,
,Crop Improvement Assoc. Bld.,1090 S Donahue Dr,"10,310",,1972,,,,45,,,,,,,,,,,,,,,
,CVM Building A,1130 H. C. Morgan Dr,"4,671",,1976,,,,41,,,,,,,,,,,,,,,
,CVM Building B1,1130 H. C. Morgan Dr,"4,317",,1997,,,,20,,,,,,,,,,,,,,,
,CVM Building B2,1130 H. C. Morgan Dr,"4,317",,1997,,,,20,,,,,,,,,,,,,,,
,CVM Building C,1130 H. C. Morgan Dr,"2,999",,1990,,,,27,,,,,,,,,,,,,,,
,CVM Building D,1130 H. C. Morgan Dr,"2,999",,1993,,,,24,,,,,,,,,,,,,,,
,CVM Building E,1130 H. C. Morgan Dr,"5,971",,1994,,,,23,,,,,,,,,,,,,,,
,CVM Building F,1130 H. C. Morgan Dr,"4,813",,1992,,,,25,,,,,,,,,,,,,,,
,CVM Building G,1130 H. C. Morgan Dr,"6,117",,1997,,,,20,,,,,,,,,,,,,,,
,CVM Multipurpose Building,710 Equine Dr,"5,170",,1994,,,,23,,,,,,,,,,,,,,,
,Dairy Barn - Agricultural Heritage Park,1500-H Wire Rd,"5,734",,2005,,,,12,,,,,,,,,,,,,,,
,Dawson Building,215 S Donahue Dr,"5,807",,1974,,,,43,,,,,,,,,,,,,,,
,Delta Chi,530 Biggio Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Delta Sigma Phi,891 Lem Morrison Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Delta Tau Delta,892 Lem Morrison Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Dobbs Residence Hall (Dorm D),345 W Samford Av,"30,530",,1965,,,,52,,,,,,,,,,,,,,,
,Donald E. Davis Arboretum Pavilion,181 Garden Dr,"1,447",,1976,,,,41,,,,,,,,,,,,,,,
,Dowdell Residence Hall (Dorm 05),266 Mell St,"24,986",,1952,,,,65,,,,,,,,,,,,,,,
,Dowell Residence Hall (Dorm G),320 P.O. Davis Dr,"34,036",,1967,,,,50,,,,,,,,,,,,,,,
,Draughon Village Hemlock Dr 103,103 Hemlock Dr,"8,226",,1959,,,,58,,,,,,,,,,,,,,,
,Draughon Village Laundry,910 W Thach Av,"1,941",,1959,,,,58,,,,,,,,,,,,,,,
,Draughon Village Office,903 W Thach Av,"3,113",,1959,,,,58,,,,,,,,,,,,,,,
,Draughon Village Shop,901 W Thach Av,"2,400",,1967,,,,50,,,,,,,,,,,,,,,
,Draughon Village Shop Storage,,,,,,,,2017,,,,,,,,,,,,,,,
,Dudley Commons,363 Graves Dr,"23,873",,1977,,,,40,,,,,,,,,,,,,,,
,Dudley Hall,361 Graves Dr,"52,285",,1977,,,,40,,,,,,,,,,,,,,,
,Dudley Shop,370 Goodwin Ln,"1,981",,1977,,,,40,,,,,,,,,,,,,,,
,Duncan (A.) Residence Hall (Dorm B),295 W Samford Av,"34,341",,1962,,,,55,,,,,,,,,,,,,,,
,Duncan (L. N.) Hall,322 Mell St,"37,730",,1928,,,,89,,,,,,,,,,,,,,,
,Dunn Residence Hall (Dorm E),435 Duncan Dr,"34,405",,1965,,,,52,,,,,,,,,,,,,,,
,Eagle Center,,,,,,,,2017,,,,,,,,,,,,,,,
,Eagle Crossing,,,,,,,,2017,,,,,,,,,,,,,,,
,Eagle Hall (The Village),201-G Wire Rd,"58,215",,2009,,,,8,,,,,,,,,,,,,,,
,Early Learning Center,325 Thach Conc,"8,636",,1939,,,,78,,,,,,,,,,,,,,,
,East Glenn Admin Support Facility,1550 E Glenn Av,"56,036",,,,,,2017,,,,,,,,,,,,,,,
,Edward L. Lowder Red Barn And Farm Implement Museum,580-B S Donahue Dr,"7,001",,"2,005",,,,12,,,,,,,,,,,,,,,
,Energy Plant,200 Wire Rd,"35,805",,2008,,,,9,,,,,,,,,,,,,,,
,Environmental Chamber Building,450-R Duncan Dr,506,,2002,,,,15,,,,,,,,,,,,,,,
,Environmental Health and Safety Building 1,971 Camp Auburn Rd,"5,918",,1978,,,,39,,,,,,,,,,,,,,,
,Environmental Health and Safety Building 2,971-A Camp Auburn Rd,"1,216",,1978,,,,39,,,,,,,,,,,,,,,
,Environmental Health and Safety Building 3,971-B Camp Auburn Rd,"1,060",,1978,,,,39,,,,,,,,,,,,,,,
,Equine Reproduction Center,830 Equine Dr,"3,477",,1995,,,,22,,,,,,,,,,,,,,,
,Equine Research Lab Building,705 Bovine Dr,"5,810",,2011,,,,6,,,,,,,,,,,,,,,
,Extension Hall,324 Mell St,"19,148",,1938,,,,79,,,,,,,,,,,,,,,
,Facilities Div Portable Office,,,,,,,,2017,,,,,,,,,,,,,,,
,Facilities Division 1,1161 W Samford Av,"34,809",,1981,,,,36,,,,,,,,,,,,,,,
,Facilities Division 3,1161-B W Samford Av,"7,149",,1981,,,,36,,,,,,,,,,,,,,,
,Facilities Division 4,1161-C W Samford Av,"7,259",,1981,,,,36,,,,,,,,,,,,,,,
,Facilities Division 5,1161-D W Samford Av,"13,315",,1994,,,,23,,,,,,,,,,,,,,,
,Facilities Division 6,1161-Q W Samford Av,"14,661",,2012,,,,5,,,,,,,,,,,,,,,
,Facilities Division 7,1161-R W Samford Av,"12,140",,2012,,,,5,,,,,,,,,,,,,,,
,Facilities Division Roof Shop,,,,,,,,2017,,,,,,,,,,,,,,,
,Facilities Division Shed,1161-F W Samford Av,,,,,,,2017,,,,,,,,,,,,,,,
,Facilities Division Trailer 2,1161-H W Samford Av,"1,960",,,,,,2017,,,,,,,,,,,,,,,
,Facilities Division Trailer 4,,,,,,,,2017,,,,,,,,,,,,,,,
,Facilities Division Trailer 5,,,,,,,,2017,,,,,,,,,,,,,,,
,Facilities Division Warehouse,227 N College St,,,,,,,2017,,,,,,,,,,,,,,,
,Facilities Equipment Pole Barn,1161-S W Samford Av,,,,,,,2017,,,,,,,,,,,,,,,
,Facilities Management Building 8,1161-X W Samford Av,"7,658",,,,,,2017,,,,,,,,,,,,,,,
,Facilities Management Building 9,,,,,,,,2017,,,,,,,,,,,,,,,
,FAHBE Building,455 Research Rd,"4,352",,1967,,,,50,,,,,,,,,,,,,,,
,Farm House Storage,,,,,,,,2017,,,,,,,,,,,,,,,
,Farm Maintenance Shop,685 Bovine Dr,"7,268",,,,,,2017,,,,,,,,,,,,,,,
,Farmhouse,552 W Thach Av,,,,,,,2017,,,,,,,,,,,,,,,
,Federal (USDA),531 Devall Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Federal (USDA),531 Devall Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Federal (USDA),531 Devall Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Federal (USDA),531 Devall Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Federal (USDA),531 Devall Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Federal (USDA),531 Devall Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Federal (USDA),531 Devall Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Federal (USDA),531 Devall Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Food Animal Research Facility,954 Simms Rd,,,2017,,,,0,,,,,,,,,,,,,,,
,Forensic Science Building,1051 Wire Rd,,,,,,,2017,,,,,,,,,,,,,,,
,Forest Products Laboratory,520 Devall Dr,"13,433",,1977,,,,40,,,,,,,,,,,,,,,
,Forestry and Wildlife Sciences Building,602 Duncan Dr,"112,066",,2005,,,,12,,,,,,,,,,,,,,,
,Foy Hall (James E. Foy Hall),282 Thach Conc,"131,929",,1953,,,,64,,,,,,,,,,,,,,,
,Fuel Storage Shed,925-C Camp Auburn Rd,,,,,,,2017,,,,,,,,,,,,,,,
,Funchess Hall,350 S College St,"147,343",,1961,,,,56,,,,,,,,,,,,,,,
,Garden Club of Al,391 W Samford Av,"1,470",,1964,,,,53,,,,,,,,,,,,,,,
,Garden Club of Alabama Pavilion,391 W Samford Av,,,,,,,2017,,,,,,,,,,,,,,,
,Gestation House 1,305 Shug Jordan Pkwy,776,,2005,,,,12,,,,,,,,,,,,,,,
,Gestation House 2,305 Shug Jordan Pkwy,"1,545",,2005,,,,12,,,,,,,,,,,,,,,
,Gestation House 3,305 Shug Jordan Pkwy,,,,,,,2017,,,,,,,,,,,,,,,
,Gilmer-Turnham State Lab,1001 Wire Rd,"5,354",,,,,,2017,,,,,,,,,,,,,,,
,Glenn Residence Hall (Dorm 06),262 Roosevelt Conc,"25,397",,1952,,,,65,,,,,,,,,,,,,,,
,Golden House,477 Webster Rd,"2,350",,,,,,2017,,,,,,,,,,,,,,,
,Goodwin Music Hall,320 W Samford Av,"49,766",,1973,,,,44,,,,,,,,,,,,,,,
,Goodwin-Adams Equine Veterinary,820 Equine Dr,"3,631",,1995,,,,22,,,,,,,,,,,,,,,
,Graves Amphitheatre,381 Graves Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Graves Residence Hall (Dorm F),439 Duncan Dr,"30,147",,1965,,,,52,,,,,,,,,,,,,,,
,Green Hall Annex,1125 H. C. Morgan Dr,"6,706",,1990,,,,27,,,,,,,,,,,,,,,
,Greene Hall,1130 Wire Rd,"124,200",,1971,,,,46,,,,,,,,,,,,,,,
,Greenhouse,411-D Research Rd,"1,297",,,,,,2017,,,,,,,,,,,,,,,
,Greenhouse,411-A Research Rd,"1,250",,,,,,2017,,,,,,,,,,,,,,,
,Greenhouse,411-B Research Rd,"1,250",,,,,,2017,,,,,,,,,,,,,,,
,Greenhouse,411-C Research Rd,"1,250",,,,,,2017,,,,,,,,,,,,,,,
,Greenhouse,411-L Research Rd,"1,130",,,,,,2017,,,,,,,,,,,,,,,
,Greenhouse (Cary Hall),461 War Eagle Way,568,,1976,,,,41,,,,,,,,,,,,,,,
,Greenhouse (Facilities Division),1161-N W Samford Av,614,,,,,,2017,,,,,,,,,,,,,,,
,Greenhouse (Facilities Division),1161-E W Samford Av,"2,907",,,,,,2017,,,,,,,,,,,,,,,
,Greenhouse (Forestry),,,,,,,,2017,,,,,,,,,,,,,,,
,Greenhouse 1,,,,,,,,2017,,,,,,,,,,,,,,,
,Greenhouse 1 (Horticulture),450-A Duncan Dr,"3,392",,1982,,,,35,,,,,,,,,,,,,,,
,Greenhouse 2 (Horticulture),450-B Duncan Dr,"3,533",,1950,,,,67,,,,,,,,,,,,,,,
,Greenhouse 3 (Horticulture),450-C Duncan Dr,"2,452",,1979,,,,38,,,,,,,,,,,,,,,
,Greenhouse 4 (Horticulture),450-D Duncan Dr,960,,1965,,,,52,,,,,,,,,,,,,,,
,Greenhouse 5 (Horticulture),450-F Duncan Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Greenhouse 6 (Horticulture),450-P Duncan Dr,"2,352",,2002,,,,15,,,,,,,,,,,,,,,
,Greenhouse 7 (Horticulture),450-G Duncan Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Greenhouse 8 (Horticulture),450-M Duncan Dr,"2,338",,1939,,,,78,,,,,,,,,,,,,,,
,Greenhouse Boiler,450-E Duncan Dr,392,,1965,,,,52,,,,,,,,,,,,,,,
,Griffin Barn - Equine,1500-C Wire Rd,"4,742",,2003,,,,14,,,,,,,,,,,,,,,
,Haley Center,351 Thach Conc,"416,199",,1969,,,,48,,,,,,,,,,,,,,,
,Halliday Cary Pick House,360 N College St,"5,933",,,,,,2017,,,,,,,,,,,,,,,
,Hammer Mill,,,,,,,,2017,,,,,,,,,,,,,,,
,Harbert Center,205 W Magnolia Av,"46,445",,1986,,,,31,,,,,,,,,,,,,,,
,Hardaway Broodmare Facility,810 Equine Dr,"4,741",,1995,,,,22,,,,,,,,,,,,,,,
,Hargis Hall (Graduate School),122 S College St,"11,203",,1888,,,,129,,,,,,,,,,,,,,,
,Harper Residence Hall (Dorm 01),226 Mell St,"21,813",,1938,,,,79,,,,,,,,,,,,,,,
,Hay Barn,,,,,,,,2017,,,,,,,,,,,,,,,
,Hitchcock Field,351 S Donahue Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Hoerlein Small Animal Clinic,1184 Wire Rd,"39,233",,1970,,,,47,,,,,,,,,,,,,,,
,Hollifield Residence Hall (Dorm A),285 W Samford Av,"30,479",,1962,,,,55,,,,,,,,,,,,,,,
,Hot Water Plant #1,650 Duncan Dr,"7,510",,2003,,,,14,,,,,,,,,,,,,,,
,Hot Water Plant #2,759 Equine Dr,"5,550",,2003,,,,14,,,,,,,,,,,,,,,
,HRD Training Facility,,,,,,,,2017,,,,,,,,,,,,,,,
,Hutsell (Wilbur) Track,702 Biggio Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Hutsell Field House,702 Biggio Dr,"1,036",,1970,,,,47,,,,,,,,,,,,,,,
,Hutsell Track Bleachers,703 Biggio Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Hutsell-Rosen Track,Lem Morrison Dr.,,,,,,,2017,,,,,,,,,,,,,,,
,Hutsell-Rosen Track Control Bldg,Lem Morrison Dr.,,,,,,,2017,,,,,,,,,,,,,,,
,Hutsell-Rosen Track Restrooms,Lem Morrison Dr.,,,,,,,2017,,,,,,,,,,,,,,,
,Hutsell-Rosen Track Storage #1,Lem Morrison Dr.,,,,,,,2017,,,,,,,,,,,,,,,
,Hutsell-Rosen Track Storage #2,Lem Morrison Dr.,,,,,,,2017,,,,,,,,,,,,,,,
,Incinerator,755 Equine Dr,"5,836",,1994,,,,23,,,,,,,,,,,,,,,
,Indoor Practice Facility,644 W Samford Av,"90,305",,2011,"12,600,000",,,6,,,,,,,,,,,,,,,
,Ingram Hall,133 S College St,"24,018",,1924,,,,93,,,,,,,,,,,,,,,
,Intramural Field House,741 Biggio Dr,"2,939",,1979,,,,38,,,,,,,,,,,,,,,
,Intramural Playing Field,741 Biggio Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Isolation Bldg 2 (Veterinary),904 Simms Rd,"4,559",,1961,,,,56,,,,,,,,,,,,,,,
,Isolets (Poultry),395-C Woodfield Dr,883,,1992,,,,25,,,,,,,,,,,,,,,
,Jack Key Golf Teaching Facility,1493 North Donahue Dr,"8,189",,2007,,,,10,,,,,,,,,,,,,,,
,Jordan-Hare Stadium,251 S Donahue Dr,"788,265",,1939,,,,78,,,,,,,,,,,,,,,
,Jule Collins Smith Art Museum,901 S College St,"42,989",,2003,,,,14,,,,,,,,,,,,,,,
,Kappa Alpha,940 Lem Morrison Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Kappa Alpha Activities Bldg,940-A Lem Morrison Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Kappa Sigma,104 Hemlock Dr,,,,,,,2017,,,,,,,,,,,,,,,
,Keller Residence Hall (Dorm 09),329 Quad Dr,"23,896",,1952,,,,65,,,,,,,,,,,,,,,
,Kennel,1215 H. C. Morgan Dr,"9,864",,,,,,2017,,,,,,,,,,,,,,,
