Building Num.,Building Name,Abbrev.,Address,GSF,Status,Construction Date,Rennovation,Reovation Cost,Age,Usage,LEED Certification,LEED Certification Year,X,Y,,,,,,,,,,
,Academic Success Center,,836 McMillan Rd,"35,000",,2013,,,4,,Gold,2013,,,,,,,,,,,,
,AMRL,,P-4-19,,,2005,,,12,,Silver,2005,,,,,,,,,,,,
,Baruch Institute,,177 Hobcaw Rd,,,2010,,,7,,Gold,2010,,,,,,,,,,,,
,CGEC,,5 Research Drive,,,2009,,,8,,Silver,2009,,,,,,,,,,,,
,CUICAR Auto Park,,5 Research Drive,,,2009,,,8,,Gold,2009,,,,,,,,,,,,
,Clemson Rowing,,529 East Beach Rd,,,2009,,,8,,Silver,2009,,,,,,,,,,,,
,Barre Hall,,120 McGinty Ct,,active,1976,,,41,Academic,,,,,,,,,,,,,,
,Biosystems Research Complex,,105 Collings St,,active,,,,2017,Academic,,,,,,,,,,,,,,
,Brackett Hall,,321 Calhoun Dr,,active,1951,1992,,66,Academic,,,,,,,,,,,,,,
,Brooks Center for the Performing Arts,,"141 Jersey Ln,",,active,1994,,,23,Academic,,,,,,,,,,,,,,
,Cook Engineering Lab,,115 Engineering Service Dr,,active,1965,,,52,Academic,,,,,,,,,,,,,,
,Cooper Library,,116 Sigma Dr,,active,1966,,,51,Academic,,,,,,,,,,,,,,
,Daniel Hall,,113 Delta Epsilon Ct,,active,1968,,,49,Academic,,,,,,,,,,,,,,
,Earle Hall,,101 Calhoun Drive,,active,1959,,,58,Academic,,,,,,,,,,,,,,
,Edwards Hall,,201 Epsilon Zeta Dr,,active,1977,,,40,Academic,,,,,,,,,,,,,,
,Endocrine Physiology Laboratory,,129 Poole Agricultural Center,,active,,,,2017,Academic,,,,,,,,,,,,,,
,Fluor Danial Engineering Innovation,,216 S. Palmetto Blvd,,active,1995,,,22,Academic,,,,,,,,,,,,,,
,Freeman Hall,,211 Fernow Street,,active,1926,1965,"10,000,000",91,Academic,,,,,,,,,,,,,,
,Godfrey Hall,,133 Alpha Beta Cir,,active,1908,1987,,109,Academic,,,,,,,,,,,,,,
,Godley Snell Research Center,,Cherry Rd,,active,1995,,,22,Academic,,,,,,,,,,,,,,
,Hardin Hall,,403 Calhoun Dr,,active,1890,2002,,127,Academic,,,,,,,,,,,,,,
,Holtzendorff Hall,,198 Old Greenville Hwy,,active,1916,,,101,Academic,,,,,,,,,,,,,,
,Hunter Chemistry Lab,,219 S Palmetto Blvd,,active,1987,,,30,Academic,,,,,,,,,,,,,,
,Jordan Hall,,130 Delta Epsilon Ct,,active,1974,,,43,Academic,,,,,,,,,,,,,,
,Kinard Laboratory of Physics,,140 Delta Epsilon Ct,,active,1961,,,56,Academic,,,,,,,,,,,,,,
,Lee Hall,,"323, Fernow St",,active,1958,,,59,Academic,Gold (expansion),2012,,,,,,,,,,,,
,Lehotsky Hall,,142 Jersey Ln,,active,1975,,,42,Academic,,,,,,,,,,,,,,
,Long Hall,,230 Parkway Dr,,active,1937,,,80,Academic,,,,,,,,,,,,,,
,Lowry Hall,,306 S Palmetto Blvd,,active,1958,,,59,Academic,,,,,,,,,,,,,,
,Martin Hall,,220 Parkway Drive,,active,1962,,,55,Academic,,,,,,,,,,,,,,
,McAdams Hall,,821 McMillan Rd,,active,1950,2004,,67,Academic,,,,,,,,,,,,,,
,Newman Hall,,130 Collings St,,active,1959,,,58,Academic,,,,,,,,,,,,,,
,Olin Hall,,413 Calhoun Dr,,active,1953,,,64,Academic,,,,,,,,,,,,,,
,Poole Agricultural Center,,130 McGinty Ct,,active,1955,,,62,Academic,,,,,,,,,,,,,,
,Rhodes Engineering Research Center,,118 Engineering Service Dr,,active,1968,2009,,49,Academic,,,,,,,,,,,,,,
,Riggs Hall,,433 Calhoun Dr.,,active,1928,,,89,Academic,,,,,,,,,,,,,,
,Sirrine Hall,,515 Calhoun Dr,,active,1938,1978,,79,Academic,,,,,,,,,,,,,,
,Harris A. Smith Building,,311 Harris A. Smith Building,,active,2009,,,8,Academic,,,,,,,,,,,,,,
,Tillman Hall,,101 Gantt Cir.,,active,1892,,,125,Academic,,,,,,,,,,,,,,
,Class of 1944 Alumni Center,,109 Daniel Dr,,active,1972,,,45,Administrative,,,,,,,,,,,,,,
,Mell Hall,,100 Beta Gamma Ct,,active,1940,,,77,Administrative,,,,,,,,,,,,,,
,Strode Tower,,121 Delta Epsilon Ct,,active,1969,,,48,Administrative,,,,,,,,,,,,,,
,Sikes Hall,,101 Calhoun Dr,,active,1904,1927,,113,Administrative,,,,,,,,,,,,,,
,Barnett Hall,,218 Bryan Cir,,active,1965,,,52,Residential,,,,,,,,,,,,,,
,Byrnes Hall,,260 Bryan Cir,,active,1970,,,47,Residential,,,,,,,,,,,,,,
,Lever Hall,,260 Bryan Cir.,,active,1968,,,49,Residential,,,,,,,,,,,,,,
,Manning Hall,,260 Bryan Cir.,,active,1967,,,50,Residential,,,,,,,,,,,,,,
,Mauldin Hall,,260 Bryan Cir.,,active,1963,,,54,Residential,,,,,,,,,,,,,,
,Smith Hall,,208 Bryan Cir,,active,1972,,,45,Residential,,,,,,,,,,,,,,
,Benet Hall,,121 Phi St,,active,1962,,,55,Residential,,,,,,,,,,,,,,
,Cope Hall,,"Clemson, SC 29634",,active,1965,,,52,Residential,,,,,,,,,,,,,,
,Geer Hall,,107 Chi Dr,,active,1966,,,51,Residential,,,,,,,,,,,,,,
,Sanders Hall,,Phi Street,,active,1966,,,51,Residential,,,,,,,,,,,,,,
,Young Hall,,113 Phi St,,active,1962,,,55,Residential,,,,,,,,,,,,,,
,Bowen Hall,,Klugh Ave,,active,1936,2005,,81,Residential,,,,,,,,,,,,,,
,Bradley Hall,,Klugh Ave,,active,1936,2005,,81,Residential,,,,,,,,,,,,,,
,Donaldson Hall,,Klugh Ave,,active,1936,2005,,81,Residential,,,,,,,,,,,,,,
,Norris Hall,,200 Alpha Beta Cir,,active,1939,2005,,78,Residential,,,,,,,,,,,,,,
,Simpson Hall,,210 Alpha Beta Cir,,active,2005,,,12,Residential,,,,,,,,,,,,,,
,Wannamaker Hall,,110 Alpha Beta Cir,,active,1936,2005,,81,Residential,,,,,,,,,,,,,,
,Calhoun Courts,,114 Court Bldg.,,active,1982,,,35,Residential,,,,,,,,,,,,,,
,Lightsey Bridge I,,Theta Kappa St,,active,1992,,,25,Residential,,,,,,,,,,,,,,
,Lightsey Bridge II,,Theta Kappa St,,active,2001,,,16,Residential,,,,,,,,,,,,,,
,Thornhill Village,,Mills Road,,active,,,,2017,Residential,,,,,,,,,,,,,,
,Clemson House,,410 N. Palmetto Blvd,,active,1950,,,67,Residential,,,,,,,,,,,,,,
,Holmes Hall,,521 Fort Hill St,,active,1994,,,23,Residential,,,,,,,,,,,,,,
,Johnstone Hall A,,Union Drive,,active,1954,,,63,Residential,,,,,,,,,,,,,,
,McCabe Hall,,Fort Hills Street,,active,1994,,,23,Residential,,,,,,,,,,,,,,
,Stadium Residence Hall,,100 Mell Hall,,active,2002,,,15,Residential,,,,,,,,,,,,,,
,Edgar A. Brown Univeristy Union,,527 Fort Hill Street,,active,1976,,,41,Dining,,,,,,,,,,,,,,
,Fernow Street Café,,201 Fernow St,,active,,,,2017,Dining,,,,,,,,,,,,,,
,Harcombe Hall,,103 Union Dr,,active,1954,1993,,63,Dining,,,,,,,,,,,,,,
,Hendrix Student Center,,720 McMillan Rd,"108,000",active,2000,,,17,Dining,,,,,,,,,,,,,,
,Schilletter Dining Hall,,238 Bryan Circle,,active,1968,,,49,Dining,,,,,,,,,,,,,,
,Doug Kingsmore Stadium,,114 Baseball Dr,,active,1970,,,47,Athletic,,,,,,,,,,,,,,
,Fike Recreation Center,,110 Heisman St,"275,000",active,1940,2002,,77,Athletic,,,,,,,,,,,,,,
,Jervey Athletic Center,,310 Perimeter Rd,,active,1973,1995,,44,Athletic,,,,,,,,,,,,,,
,Littlejohn Coliseum,,1 Avenue of Champions,,active,1968,2016,,49,Athletic,,,,,,,,,,,,,,
,McFadden Building,,220 Perimeter Rd,,active,1995,,,22,Athletic,,,,,,,,,,,,,,
,Memorial Stadium,,1 Avenue of Champions,,active,1942,2003,,75,Athletic,,,,,,,,,,,,,,
,Rock Norman Track & Field Complex,,221 Track Dr,,active,2003,,,14,Athletic,,,,,,,,,,,,,,
,Rowing Boathouse,,524 E Beach Dr,,active,,,,2017,Athletic,,,,,,,,,,,,,,
,Riggs Field,,115 Alpha Beta Circle,,active,1915,1987,,102,Athletic,,,,,,,,,,,,,,
,Sloan Tennis Center,,188 Old Greenville Hwy,,active,1985,1987,,32,Athletic,,,,,,,,,,,,,,
,Vickery Hall,,221 Epsilon Zeta Dr,"26,000",active,1991,,,26,Athletic,,,,,,,,,,,,,,
,Walker Golf Course,,210 Madren Center Dr,,active,1995,,,22,Athletic,,,,,,,,,,,,,,
,Bowman Field,,Bowman Field,,active,1900,,,117,Other,,,,,,,,,,,,,,
,Calhoun Mansion,,102 Fort Hill St,,active,1802,1830,,215,Other,,,,,,,,,,,,,,
,Campbell Museum of Natural History,,116 Sigma Dr,,active,1894,1996,,123,Other,,,,,,,,,,,,,,
,Carillion Garden,,Carillion Garden,,active,1993,,,24,Other,,,,,,,,,,,,,,
,Dillard Building,,400 Klugh Ave,,active,1956,,,61,Other,,,,,,,,,,,,,,
,Hanover House,,150 Garden Trail,,active,1716,,,301,Other,,,,,,,,,,,,,,
,Clyde V. Madren Center,,230 Madren Center Drive,,active,1995,,,22,Other,,,,,,,,,,,,,,
