Building Number,Name,Res or non-res,Ownership,Year Constructed,Age,Estimated replacement cost,Last Renovation Cost,Last Renovation Year,Building Cond,Air Cond,Accessible Area,Assignable Area,Gross Area,Building Cost,Number of Floors,Last Update,,,,,,,,
121,4TH ST FAC SERVICES,1,4,1960,57,1184525,53162,97,2,6,2867,2867,4350,,1,99,,,,,,,,
143A,ABC STORAGE,1,4,1965,52,14962,,,1,6,5670,5670,6000,,1,14,,,,,,,,
151,ADMIN SUPPORT ANNEX,1,1,1950,67,927855,,,2,6,0,2368,3427,175000,1,99,,,,,,,,
252,ARLINGTON CROSSING,1,4,2008,9,1100169,,,1,6,2020,2020,4045,,1,14,,,,,,,,
261A,ATHLETIC MAINT.,1,1,2014,3,2568599,,,1,3,0,185,5435,2472184,1,14,,,,,,,,
61,ATHLETICS CONCESSION,1,1,1963,54,496630,,,3,6,1528,1528,1712,5000,1,99,,,,,,,,
6,AUSTIN BLDG,1,1,1964,53,17086937,219065,6,4,6,35460,35460,63866,1167000,3,7,,,,,,,,
6A,AUSTIN GRND STORAGE,1,1,2006,11,84109,,,1,6,685,685,700,59420,1,10,,,,,,,,
71,AYCOCK RESID HALL,2,1,1960,57,14714909,,,4,6,70649,70649,89516,1149000,4,5,,,,,,,,
13,BELK ALLIED HEALTH,1,1,1972,45,19171698,,,2,6,26666,26666,49567,1147748,3,6,,,,,,,,
59,BELK ANNEX #1,1,1,1976,41,5445416,,,3,6,2221,2221,4800,116000,1,10,,,,,,,,
215,BISCO FURNITURE,1,1,1917,100,1733300,,,4,1,0,21690,22010,567858,1,4,,,,,,,,
215A,BISCO WAREHOUSE #1,1,1,1906,111,2532939,,,4,1,0,31743,32164,829831,1,4,,,,,,,,
215B,BISCO WAREHOUSE #2,1,1,1947,70,801289,,,4,1,0,9974,10175,262515,1,4,,,,,,,,
215C,BISCO WAREHOUSE #3,1,1,1999,18,1036359,442212,6,4,1,2140,2140,13160,339528,1,6,,,,,,,,
198,BLAIR BUILDING,1,1,1977,40,1954444,236172,3,1,6,3703,3703,5465,450000,1,6,,,,,,,,
67,BLOUNT HOUSE/POLICE,1,1,1945,72,918921,343414,99,3,6,1639,2298,3394,6018,2,5,,,,,,,,
155,BLOUNT RECR SPORTS C,1,1,1997,20,498952,,,1,1,956,956,1720,214000,1,99,,,,,,,,
