Building Num.,Building Name,Address,GSF,Status,Construction Date,Rennovation,Reovation Cost,Age,Usage,LEED Certification,LEED Certification Year,X,Y,,,,,,,,,,,
,Cresswell Hall,36 Magruder St.,,active,,,,,,,,,,,,,,,,,,,,
,Critz Hall,685 Barr Ave,,active,,,,,,,,,,,,,,,,,,,,
,Deavenport Hall,220 Bailey Howell Drive,,active,,,,,,,,,,,,,,,,,,,,
,Dogwood Hall,705 George Perry Street,,active,,,,,,,,,,,,,,,,,,,,
,Griffis Hall,500 Bailey Howell Dr.,,active,,,,,,,,,,,,,,,,,,,,
,Hathorn Hall,76 Magruder St.,,active,,,,,,,,,,,,,,,,,,,,
,Herbert Hall,170 Herbert St,,active,,,,,,,,,,,,,,,,,,,,
,Hull Hall,85 Walker Rd,,active,,,,,,,,,,,,,,,,,,,,
,Hurst Hall,95 Hurst Lane,,active,,,,,,,,,,,,,,,,,,,,
,Magnolia Hall,15 Morgan Avenue,,active,,,,,,,,,,,,,,,,,,,,
,McKee Hall,450 Lee Blvd,,active,,,,,,,,,,,,,,,,,,,,
,Moseley Hall,55 Magruder Street,,active,,,,,,,,,,,,,,,,,,,,
,Nunnelee Hall,215 Hurst Lane,,active,,,,,,,,,,,,,,,,,,,,
,Oak Hall,205 Magruder Street,,active,,,,,,,,,,,,,,,,,,,,
,Rice Hall,180 Magruder St,,active,,,,,,,,,,,,,,,,,,,,
,Ruby Hall,75 Hurst Lane,,active,,,,,,,,,,,,,,,,,,,,
,Sessums Hall,459 Lee Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,Rosenbaum Building,Highway 19 N,,active,,,,,,,,,,,,,,,,,,,,
,Division of Arts and Sciences,Highway 19 N,,active,1993,,,,,,,,,,,,,,,,,,,
,Division of Education,Highway 19 N,,active,1993,,,,,,,,,,,,,,,,,,,
,Administrative offices,Highway 19 N,,active,1993,,,,,,,,,,,,,,,,,,,
,Deen Building,Highway 19 N,,active,2012,,,,,,,,,,,,,,,,,,,
,MSU Riley Center,Highway 19 N,,active,,,,,,,,,,,,,,,,,,,,
,J. Charles Lee Agricultural and Biological Engineering Building,130 Creelman,,active,2008,,,,,,,,,,,,,,,,,,,
,Allen Hall,175 Presidents Cir.,,active,,,,,,,,,,,,,,,,,,,,
,Ballew Hall,885 Stone Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,Box Building,299-1 Morrill Rd.,,active,,,,,,,,,,,,,,,,,,,,
,Music Building A,299-3 Morrill Rd.,,active,,,,,,,,,,,,,,,,,,,,
,Student Media Center,105 Lee Blvd.,,active,1909,1948,"1,000,000",,,,,,,,,,,,,,,,,
,Lee Hall,,,active,,,,,,,,,,,,,,,,,,,,
,Montgomery Hall,25 Old Main,,active,1902,1939,,,,,,,,,,,,,,,,,,
,McCool Hall,40 Old Main,,active,,2007,,,,,,,,,,,,,,,,,,
,McCain Engineering Building,479-2 Hardy Rd.,,active,1905,2003,,,,,,,,,,,,,,,,,,
,Lloyd-Ricks-Watson Building,255 Tracy Dr.,,active,1929,,,,,,,,,,,,,,,,,,,
,YMCA Building,195 Lee Blvd.,,active,1914,,,,,,,,,,,,,,,,,,,
,Magruder Hall,255 Lee Blvd.,,active,1938,,,,,,,,,,,,,,,,,,,
,Harned Hall,295 Lee Blvd.,,active,1921,,,,,,,,,,,,,,,,,,,
,Hilbun Hall,355 Lee Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,George Hall,233 Lee Blvd.,,active,1902,,,,,,,,,,,,,,,,,,,
,Colvard Student Union,,,active,1964,2006,,,,,,,,,,,,,,,,,,
,Cobb Institute of Archaeology,340 Lee Blvd.,,active,1971,,,,,,,,,,,,,,,,,,,
,Etheredge Hall,449 Hardy Rd.,,active,,,,,,,,,,,,,,,,,,,,
,Carpenter Hall,479-1 Hardy Rd.,,active,1910,,,,,,,,,,,,,,,,,,,
,Hand Chemical Lab,310 Presidents Cir.,,active,,,,,,,,,,,,,,,,,,,,
,Swalm Chemical Engineering Building,323 Presidents Cir.,,active,2001,,,,,,,,,,,,,,,,,,,
,Dorman Hall,32 Creelman St.,,active,1964,,,,,,,,,,,,,,,,,,,
,Williams Building,25 Walker Rd.,,active,,,,,,,,,,,,,,,,,,,,
,Patterson Engineering Building,516 Hardy Rd.,,active,,,,,,,,,,,,,,,,,,,,
,Roberts Building,412 Lee Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,Simrall Electrical Engineering Building,406 Hardy Rd.,,active,,,,,,,,,,,,,,,,,,,,
,Stennis Institute of Government and Community Development,,,active,,,,,,,,,,,,,,,,,,,,
,Garner Hall,88 Garner Cir.,,active,,,,,,,,,,,,,,,,,,,,
,Butler Hall,665 George Perry St.,,active,,,,,,,,,,,,,,,,,,,,
,Giles Hall,889 Collegeview St.,,active,,,,,,,,,,,,,,,,,,,,
,McArthur Hall,245 Barr Ave.,,active,,,,,,,,,,,,,,,,,,,,
,Bost Extension Center,190 Bost,,active,,,,,,,,,,,,,,,,,,,,
,Cullis Wade Depot,945 Stone Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,Herzer Dairy Science Building,,,active,,,,,,,,,,,,,,,,,,,,
,McComas Hall,216 Presidents Cir.,,active,,,,,,,,,,,,,,,,,,,,
,Longest Student Health Center,360 Hardy Rd.,,active,,,,,,,,,,,,,,,,,,,,
,Academic Computer Laboratory,179 Herbert St.,,active,,,,,,,,,,,,,,,,,,,,
,Ammerman-Hearnsberger Pilot Food Processing Lab,885-1 Stone Blvd.,18000,active,2007,,,,,,,,,,,,,,,,,,,
,Band/Choral Rehearsal Hall,72 Hardy Rd.,,active,,,,,,,,,,,,,,,,,,,,
,Bedenbaugh Animal Science,915 Stone Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,Bowen Hall,456 Hardy Rd.,,active,1929,,,,,,,,,,,,,,,,,,,
,Briscoe Hall,120 Garner Cir.,,active,,,,,,,,,,,,,,,,,,,,
,Center for Advanced Vehicular Systems,,,active,,,,,,,,,,,,,,,,,,,,
,Center for Educational Partnerships,,,active,1996,,,,,,,,,,,,,,,,,,,
,Early Childhood Institute,,,active,1999,,,,,,,,,,,,,,,,,,,
,The Writing Center,,,active,,,,,,,,,,,,,,,,,,,,
,Freeman Hall,415 Barr Ave.,,active,,,,,,,,,,,,,,,,,,,,
,Gast Building,130 Old Hwy. 12,,active,,,,,,,,,,,,,,,,,,,,
,Griffis Hall,500 Coliseum Blvd.,,active,,,,,,,,,,,,,,,,,,,,
,Center for America's Veterans,250 Bailey Howell Dr.,,active,2006,,,,,,,,,,,,,,,,,,,
,Herbert Hall,170 Herbert St.,,active,1929,,,,,,,,,,,,,,,,,,,
,Hill Poultry Science Building,46 Old Bully,,active,1967,,,,,,,,,,,,,,,,,,,
,Howell Building,823 Collegeview St.,,active,,,,,,,,,,,,,,,,,,,,
,Industrial Education Building,108 Herbert St.,,active,1900,,,,,,,,,,,,,,,,,,,
,Landscape Architecture Facility,845-3 Stone Blvd.,,active,2002,,,,,,,,,,,,,,,,,,,
