Building,Building Number,Abbreviation,Precint,City,Floor Plan,FCI,LEED Level,LEED Certification Year,Gross SF,Year Built,Age,Resident or Non-resident,Ownership,Estimated Replacement Cost,Last Renovation Cost,Last Renovation Year,Building Condition,Air Cond,Accessibel Area,Assignable Area,Building Cost,Number of Floors,Last Update,Address
1033 Wade Avenue,929,TWA,North,Raleigh,929.pdf,,,,,,,,,,,,,,,,,,,1033 Wade Avenue
131 1/2 S. WILMINGTO,948N,,,,,,,,2989,1920,97,1,4,666885,,,2,6,2532,2599,,1,14,
151 Patton Ave.,960K,VBF,Outlying,Asheville,960k.pdf,,,,,,,,,,,,,,,,,,,151 Patton Ave.
1528 Blue Ridge Road (1500),,,,,,0.23,,,14577,,,,,,,,,,,,,,,
1801 Varsity,756A,VAR,Centennial,Raleigh,756a.pdf,,,,,,,,,,,,,,,,,,,1801 Varsity Dr.
1911 Building,36,NIN,North,Raleigh,36.pdf,0.01,,,65494,1909,108,1,1,23816893,89019,7,1,5,25459,25459,175000,4,14,10 Current Dr.
20 Enterprise St.,920,ENT,North,Raleigh,920.pdf,,,,5226,1979,38,1,4,1085963,,,1,6,607,4552,,1,14,20 Enterprise St.
2319 1/2 Champion Court,280A,CH1,South,Raleigh,280a.pdf,,,,1811,1985,32,2,1,376326,,,2,6,1678,1678,62500,1,14,2319 1/2 Champion Court
2355 1/2 Champion Court,280B,CH2,South,Raleigh,280b.pdf,,,,2709,1985,32,2,1,589811,,,2,6,2420,2420,62500,1,14,2355 1/2 Champion Court
2526 Hillsborough Street,948D,FMM,North,Raleigh,948d.pdf,0.23,,,12629,1950,67,1,4,2624306,,,2,6,9057,9057,,1,14,2526 Hillsborough St.
2806 HILLSBOROUGH ST,49A,,,,,,,,4954,1971,46,1,1,1544162,,,2,6,3434,3571,375000,2,14,
2806 HILLSBOROUGH ST,49B,,,,,,,,1895,1962,55,1,1,590672,,,2,6,1495,1495,141000,1,14,
2806 Hillsborough St-Bldg A,049A,HL1,North,Raleigh,49a.pdf,,,,,,,,,,,,,,,,,,,2806 Hillsborough St.
2806 Hillsborough St-Bldg B,049B,HL2,North,Raleigh,49b.pdf,0.17,,,1887,,,,,,,,,,,,,,,2806 Hillsborough St.
3115 Western Boulevard (Former Army Reserve Center),140A,ARC,South,Raleigh,140a.pdf,0.24,,,4460,1935,82,1,1,695091,,,3,6,0,4093,13380,1,14,3115 Western Blvd.
313 Chapanoke Road (CALS),933,CHP,Outlying,Raleigh,,,,,8340,1999,18,1,4,2521957,,,1,6,6529,6529,,1,14,313 Chapanoke Rd.
3501 Avent Ferry,291,AFO,Outlying,Raleigh,291.pdf,,,,21714,2002,15,1,1,6768254,,,3,6,12442,12711,144220,3,14,3501 Avent Ferry Rd.
3709 Hillsborough St Garage,138A,HBG,North,Raleigh,138a.pdf,,,,981,1966,51,1,1,66695,,,2,1,899,899,6433,1,14,3709 Hillsborough St.
3709 Hillsborough Street,138,HBS,North,Raleigh,138.pdf,0.21,,,20661,1950,67,1,1,8122064,,,2,6,12262,12262,135000,1,14,3709 Hillsborough St.
4 Unit Bulk Tobacco(Upiedmont),860D,Z34,Outlying,Reidsville,,,,,1350,1930,87,2,1,187787,,,4,6,0,1045,12000,1,14,1944 Wentworth Rd.
5 W. HARGETT BUILDIN,928,,,,,,,,6332,1915,102,1,4,1574085,,,1,6,5734,5734,,1,14,
512 Brickhaven Drive,449B,BH2,West,Raleigh,449b.pdf,0.09,,,30902,2000,17,1,1,9632153,,,1,6,20446,20446,4075000,2,14,512 Brickhaven Dr.
516 Brickhaven Drive,449A,BHD,West,Raleigh,449a.pdf,0.02,,,1792,1987,30,1,1,5233131,503893,4,1,5,12136,12136,1610000,1,14,516 Brickhaven Dr.
520 Brickhaven Drive,449C,BH3,West,Raleigh,449c.pdf,,,,6164,1973,44,1,1,1921319,,,2,6,4072,4072,193000,2,14,520 Brickhaven Dr.
520 Brickhaven Metal Shed 40X75,449D,BH4,West,Raleigh,449d.pdf,,,,2848,1973,44,1,1,181436,,,2,2,2613,2613,23230,1,14,520 Brickhaven Dr.
520 Brickhaven Storage Shed 16X65,449E,BH5,West,Raleigh,449e.pdf,,,,1020,1986,31,1,1,88056,,,2,1,981,981,23230,1,14,520 Brickhaven Dr.
520 Brivenhaven Drive,,,,,,0.32,,,6164,,,,,,,,,,,,,,,
520 Brivenhaven Drive Storage Shed,,,,,,0.03,,,1040,,,,,,,,,,,,,,,
520 Brivenhaven Drive Storage Shed,,,,,,0.07,,,3000,,,,,,,,,,,,,,,
Aboretum-Hfl Support Bldg,446C,AHS,West,Raleigh,446c.pdf,,,,1792,2002,15,1,1,370694,,,1,6,1569,1569,157600,1,14,4401 Beryl Rd.
Administrative Services Building,,,,,,-,,,53973,,,,,,,,,,,,,,,
Administrative Services I,122,AS1,Central,Raleigh,122.pdf,0.21,,,27998,1974,43,1,1,10181473,1667566,6,1,6,18254,18254,651095,1,14,2721 Sullivan Dr.
Administrative Services II,121,AS2,Central,Raleigh,121.pdf,0.11,,,30194,1986,31,1,1,10980048,1962951,7,1,6,23094,23157,1500000,2,14,2711 Sullivan Dr.
Administrative Services III,215,AS3,Central,Raleigh,215.pdf,,,,53973,2004,13,1,1,19627281,,,1,6,30477,30477,7504325,3,14,2701 Sullivan Dr.
Air Resources Research,,,,,,-,,,3450,,,,,,,,,,,,,,,
Alexander Residence Hall,97,AEX,Central,Raleigh,97.pdf,,,,37801,1938,79,2,1,7010050,382640,90,3,6,9971,23583,160000,4,14,2700 Cates Ave.
Alliance Center,760A,ACR,Centennial,Raleigh,760a.pdf,,,,,,,,,,,,,,,,,,,901 Main Campus Dr.
Alternative Fuels Garage,242B,AFG,South,Raleigh,242b.pdf,,,,1055,2005,12,1,1,83610,,,1,1,925,925,63300,2,14,1202 Gorman St.
Aluminum Storage Bldg - CVM,347,ASB,West,Raleigh,347.pdf,0.03,,,168,,,,,,,,,,,,,,,1280 Horse Lane
American Tower Mobile Carrier Shelter,135K,MS1,West,Raleigh,135k.pdf,,,,,,,,,,,,,,,,,,,4652 Trinity Rd.
American Underground,952,AMU,Outlying,Durham,952.pdf,,,,,,,,,,,,,,,,,,,406 Blackwell St.
Animal Air Quality And Environmental Management,814W,WTR,Lake Wheeler Site,Raleigh,814w.pdf,,,,5600,2002,15,1,1,2709441,,,1,6,5102,5131,144463,1,14,3964 Parametri Rd.
Animal Husbandry Shed,345,AHB,West,Raleigh,345.pdf,,,,,,,,,,,,,,,,,,,4528 Terry Curtin Dr.
Applied Ecology - Puerto Rico Housing,971C,ZR3,Outlying,Cabo Rojo,971c.pdf,,,,,,,,,,,,,,,,,,,Carr 303 KM 12.2
Applied Energy Lab 169E,,,,,,0.13,,,1823,,,,,,,,,,,,,,,
