Building Num.,Building Name,Address,GSF,Status,Construction Date,Rennovation,Reovation Cost,Age,Usage,LEED Certification,LEED Certification Year,X,Y,,,,,,,,,,,
,Academic Advising Center,100 Farrior Hall at 100 Fletcher Drive,"34,350",active,1995,,,22,,,,,,,,,,,,,,,,
,Academic Research Building,1200 Newell Drive,"240,660",active,1989,,,28,,,,,,,,,,,,,,,,
,Ageng Annex,,"4,320",active,1946,,,71,,,,,,,,,,,,,,,,
,Agricultural Engineering Offices,1505 MUSEUM DR,"1,740",active,1941,,,76,,,,,,,,,,,,,,,,
,Agricultural Engineering Shop,1505 MUSEUM DR,"6,130",active,1985,,,32,,,,,,,,,,,,,,,,
,Agronomy Seed Lab,,"1,730",active,1964,,,53,,,,,,,,,,,,,,,,
,Alpha Chi Omega Sorority,820 W Panhellenic DR,,active,1955,,,62,,,,,,,,,,,,,,,,
,Alpha Delta Pi Sorority,831 W Panhellenic DR,,active,1954,,,63,,,,,,,,,,,,,,,,
,Alpha Epsilon Phi Sorority,832 W Panhellenic DR,,active,1957,,,60,,,,,,,,,,,,,,,,
,Alpha Epsilon Pi Fraternity,2303 FRATERNITY DR,,active,1957,,,60,,,,,,,,,,,,,,,,
,Alpha Omicron Pi Sorority,819 W Panhellenic DR,,active,1954,,,63,,,,,,,,,,,,,,,,
,Alumni Association Offices,,"21,200",active,1976,,,41,,,,,,,,,,,,,,,,
,Alumni Hall,1938 WEST UNIVERSITY AVE,"16,750",active,1976,,,41,,,,,,,,,,,,,,,,
,Anderson Hall,1507 W UNIVERSITY AV,"39,370",active,1913,,,104,,,,,,,,,,,,,,,,
,Animal Facilities Kennel 1,,"1,780",active,1960,,,57,,,,,,,,,,,,,,,,
,Animal Facilities Kennel 2,,"2,800",active,1960,,,57,,,,,,,,,,,,,,,,
,Animal Facilities Kennel 3,,"1,780",active,1960,,,57,,,,,,,,,,,,,,,,
,Animal Facilities Kennel 4,,"1,420",active,1962,,,55,,,,,,,,,,,,,,,,
,Animal Facilities Kennel 5,,"2,740",active,1970,,,47,,,,,,,,,,,,,,,,
,Animal Facilities Kennel Core Building,1632 SW 34TH ST,"1,910",active,1960,,,57,,,,,,,,,,,,,,,,
,Animal Facilities Primate Quarantine,,"1,930",active,1960,,,57,,,,,,,,,,,,,,,,
,Animal Research,,"2,500",active,1919,,,98,,,,,,,,,,,,,,,,
,Animal Research,,"1,930",active,1932,,,85,,,,,,,,,,,,,,,,
,Animal Research Lab,,"9,370",active,1967,,,50,,,,,,,,,,,,,,,,
,Animal Research Lab No. 2,,"7,020",active,1970,,,47,,,,,,,,,,,,,,,,
,Animal Research Southside,,360,active,1951,,,66,,,,,,,,,,,,,,,,
,Animal Research Southside D,,"2,580",active,1956,,,61,,,,,,,,,,,,,,,,
,Animal Research Southside F,,800,active,1963,,,54,,,,,,,,,,,,,,,,
,Animal Research Storage,,590,active,1972,,,45,,,,,,,,,,,,,,,,
,Animal Research Trailer,,"1,100",active,1985,,,32,,,,,,,,,,,,,,,,
,Animal Sciences,2250 SHEALY DR,"73,060",active,1982,,,35,,,,,,,,,,,,,,,,
,Animal Shed,,"1,000",active,1950,,,67,,,,,,,,,,,,,,,,
,Animal Shed,,480,active,1950,,,67,,,,,,,,,,,,,,,,
,Apartment Residence Facility,,,active,1991,,,26,,,,,,,,,,,,,,,,
,Apartment Residence Facility Commons,,"8,000",active,1991,,,26,,,,,,,,,,,,,,,,
,Aquatic Food Products Pilot Plant Facility,520 NEWELL DR,"16,540",active,2000,,,17,,,,,,,,,,,,,,,,
,Architecture Building,,"83,800",active,1979,,,38,,,,,,,,,,,,,,,,
,Athletic Maintenance Building,,"4,830",active,1978,,,39,,,,,,,,,,,,,,,,
,Baby Gator Nursery (North),793 CORRY CIR,"1,940",active,1976,,,41,,,,,,,,,,,,,,,,
,Baby Gator Nursery (South),793 CORRY CIR,"1,880",active,1976,,,41,,,,,,,,,,,,,,,,
,Baby Gator Nursery (East),,"1,880",active,1084,,,933,,,,,,,,,,,,,,,,
,Bartram Hall (William Bartram Biological Sciences Building),876 NEWELL DR,"57,190",active,1968,,,49,,,,,,,,,,,,,,,,
,Basketball Practice Facility,290 WOODLAWN DR,"48,850",active,2001,,,16,,,,,,,,,,,,,,,,
,Baughman Center,1101 MUSEUM DR,"2,482",active,1999,,,18,,,,,,,,,,,,,,,,
,Beaty Towers,1407 MUSEUM RD,,active,1966,,,51,,,,,,,,,,,,,,,,
,Beaty Towers Commons,1387 MUSEUM RD,"8,440",active,1967,,,50,,,,,,,,,,,,,,,,
,Beaty Towers Service Building,1308 DIAMOND RD,"4,800",active,1967,,,50,,,,,,,,,,,,,,,,
,Ben Hill Griffin Stadium at Florida Field,245 GALE LEMERAND DR,"136,340",active,1990,,,27,,,,,,,,,,,,,,,,
,Benton Hall,946 CENTER DR,"24,720",active,1967,,,50,,,,,,,,,,,,,,,,
,Beta Theta Pi Fraternity,2315 FRATERNITY DR,,active,1955,,,62,,,,,,,,,,,,,,,,
,Bio-Containment Facility,,"4,500",active,1992,,,25,,,,,,,,,,,,,,,,
,Bio Control Laboratory,,"3,090",active,1986,,,31,,,,,,,,,,,,,,,,
,Bio-Mass Center,,"2,620",active,1982,,,35,,,,,,,,,,,,,,,,
,Biomedical Sciences Building,1275 CENTER DR,"146,611",active,2009,,,8,,,,,,,,,,,,,,,,
,Bio-Tech Laboratory,2448 HULL RD,"3,300",active,1986,,,31,,,,,,,,,,,,,,,,
,"Black Culture, Institute for",1510 W UNIVERSITY AVE,"2,970",active,1954,,,63,,,,,,,,,,,,,,,,
,Black Hall,1128 CENTER DR,"35,350",active,1967,,,50,,,,,,,,,,,,,,,,
,Bookstore and Welcome Center,1900 MUSEUM RD,"222,592",active,2003,,,14,,,,,,,,,,,,,,,,
,Bookstore Warehouse,958 ELMORE DR,"9,600",active,1966,,,51,,,,,,,,,,,,,,,,
,Bostick Golf Clubhouse,,,active,1988,,,29,,,,,,,,,,,,,,,,
,Brain Institute,1149 NEWELL DR,"220,000",active,1998,,,19,,,,,,,,,,,,,,,,
,Broward Dining Facility,596 BROWARD DR,"13,000",active,2000,,,17,,,,,,,,,,,,,,,,
,Broward Hall,680 BROWARD DR,,active,1954,,,63,,,,,,,,,,,,,,,,
,Bruton-Geer Hall,351 VILLAGE DR,"43,050",active,1982,,,35,,,,,,,,,,,,,,,,
,Bryan Hall,1384 UNION RD,"50,520",active,1914,,,103,,,,,,,,,,,,,,,,
,Bryant Space Science Center,1772 STADIUM RD,"58,080",active,1968,,,49,,,,,,,,,,,,,,,,
,Buckman Hall,132 BUCKMAN DR,,active,1906,,,111,,,,,,,,,,,,,,,,
,"Building 120, Newell Drive",,,active,1937,,,80,,,,,,,,,,,,,,,,
,Cabinet Shop,,"2,400",active,1964,,,53,,,,,,,,,,,,,,,,
,Campus Mail Room,,"2,210",active,1982,,,35,,,,,,,,,,,,,,,,
,Cancer Center,1515 SW ARCHER ROAD,"500,000",active,2009,,,8,,,,,,,,,,,,,,,,
,Carleton Auditorium,1475 UNION RD,"14,100",active,1953,,,64,,,,,,,,,,,,,,,,
,Carpenter Shop,1311 DATE PALM DR,"11,520",active,1948,,,69,,,,,,,,,,,,,,,,
,Carr Hall,882 NEWELL DR,"46,570",active,1974,,,43,,,,,,,,,,,,,,,,
,Centrex - Police,1577 MUSEUM RD,"9,890",active,1968,,,49,,,,,,,,,,,,,,,,
,Chemical Engineering,1030 CENTER DR,"50,600",active,1967,,,50,,,,,,,,,,,,,,,,
,Chemistry Laboratory,125 BUCKMAN DR,"85,880",active,1990,,,27,,,,,,,,,,,,,,,,
,Chemistry Research,,"62,550",active,1967,,,50,,,,,,,,,,,,,,,,
,Chi Omega Sorority,807 W Panhellenic DR,,active,1956,,,61,,,,,,,,,,,,,,,,
,Chi Phi Fraternity,2228 MUSEUM RD,,active,1969,,,48,,,,,,,,,,,,,,,,
,Chicone Hall (Heritage Hall?),105 GALE LEMERAND DR,"22,800",active,1991,,,26,,,,,,,,,,,,,,,,
,Clinical Trials Research Fac,2004 MOWRY RD,"14,607",active,2002,,,15,,,,,,,,,,,,,,,,
,Communicore Building,1249 CENTER DR,"300,690",active,1975,,,42,,,,,,,,,,,,,,,,
,Computer Science and Engineering,432 NEWELL DR,"112,725",active,1986,,,31,,,,,,,,,,,,,,,,
,Constans Theatre,1800 MCCARTY DR,"30,020",active,1967,,,50,,,,,,,,,,,,,,,,
,Counseling and Wellness Center,3190 Radio Road,"20,000",active,2010,,,7,,,,,,,,,,,,,,,,
,Criser Hall (Marshall M. Criser Student Services Center),1478 UNION RD,"63,310",active,1990,,,27,,,,,,,,,,,,,,,,
,Dairy Sciences Bldg.,,"31,140",active,1985,,,32,,,,,,,,,,,,,,,,
,Dauer Hall,228 BUCKMAN DR,"59,640",active,1932,,,85,,,,,,,,,,,,,,,,
,Delta Chi Fraternity,725 FRATERNITY DR,,active,1966,,,51,,,,,,,,,,,,,,,,
,Delta Delta Delta Sorority,1134 E Panhellenic DR,,active,1955,,,62,,,,,,,,,,,,,,,,
,Delta Gamma Sorority,808 W Panhellenic DR,,active,1952,,,65,,,,,,,,,,,,,,,,
,Delta Phi Epsilon Sorority,1115 SW 9th Av,,active,1963,,,54,,,,,,,,,,,,,,,,
,Dental Science Building,D3-5 Health Science Center,"503,640",active,1975,,,42,,,,,,,,,,,,,,,,
,Deriso Hall,2030 SHEALY DR,"9,998",active,2006,,,11,,,,,,,,,,,,,,,,
