Building Num.,Building Name,Abbrev.,Address,GSF,Status,Construction Date,Rennovation,Age,Construction Cost,Renovation Cost,Usage,LEED Certification,LEED Certification Year,X,Y,,,,,,,,,
668,Tate Expansion,,,,active,2009,,8,,,,Gold,,,,,,,,,,,,
,Residence Hall Building 1516,,,,active,,,2017,,,,Gold,,,,,,,,,,,,
,Pharmacy South Addition,,,,active,,,2017,,,,Silver,,,,,,,,,,,,
,Georgia Museum of Art Addition,,,,active,,,2017,,,,Gold,,,,,,,,,,,,
,Special Collections Library,,,,active,,,2017,,,,Gold,,,,,,,,,,,,
,Jackson Street Building,,,,active,,,2017,,,,Gold,,,,,,,,,,,,
757,259 Waddell Street,,259 Waddell Street,"4,674",active,,,2017,,,,,,,,,,,,,,,,
,529 Baxter Street,,529 Baxter Street,,active,,,2017,,,,,,,,,,,,,,,,
2635,1260 S. Lumpkin Street,,1260 S. Lumpkin Street,"2,978",active,,,2017,,,,,,,,,,,,,,,,
2219,1324 S. Lumpkin Street,,1324 S. Lumpkin Street,"12,586",active,,,2017,,,,,,,,,,,,,,,,
1060,Aderhold Hall,,110 Carlton Street,"201,062 sq./ft.",active,1971,,46,,,,,,,,,,,,,,,,
631,Administration Building,,220 South Jackson Street,"3,345",active,1907,2000,110,,"250,000",,,,,,,,,,,,,,
2426,Agronomy Seed Lab,,107 Riverbend Rd,"7,000 sq./ft.",active,,,2017,,,,,,,,,,,,,,,,
,Agronomy Soil Building,,107 Riverbend Rd,"8,000 sq./ft.",active,,,2017,,,,,,,,,,,,,,,,
2218,Alpha Chi Omega Sorority,,1064 S. Lumpkin St.,"21,542",active,,,2017,,,,,,,,,,,,,,,,
2232,Alpha Epsilon Pi Fraternity,,170 River Road,"9,988",active,,,2017,,,,,,,,,,,,,,,,
,Alpha Psi Vet Fraternity,,195 Burnett Street,,active,,,2017,,,,,,,,,,,,,,,,
1077,Animal Health Research Center,,110 Carlton St,"74,500 sq./ft.",active,,,2017,,,,,,,,,,,,,,,,
2119,Auxiliary Services,,1088 South Lumpkin,"60,000 sq./ft.",active,,,2017,,"2,000,000",,,,,,,,,,,,,,
50,Baldwin Hall,,355 S. Jackson St.,"68,975 sq./ft.",active,1938,"2017 (added 15,000sq/ft)",79,,"8,750,000",,,,,,,,,,,,,,
1021,Barrow Hall,,115 DW Brooks Dr,"43,993",active,1916,,101,,,,,,,,,,,,,,,,
1686,Baseball Maintenance & Storage,,1 Rutherford Street,"1,470",active,1990,,27,,,,,,,,,,,,,,,,
1000,Biological Sciences Building,,120 Cedar St,"257,000 sq./ft.",active,,,2017,,,,,,,,,,,,,,,,
32,Bishop House,,235 S. Jackson Street,"4,705",active,1837,,180,,,,,,,,,,,,,,,,
2216,Boggs Hall,,900 S. Lumpkin St,"33,182",active,,,2017,,,,,,,,,,,,,,,,
2210,Bolton Dining Commons,,790 S. Lumpkin Street,"35,948",active,2014,,3,,,,,,,,,,,,,,,,
1023,Boyd Graduate Research Center,,D.W. Brooks Drive,"160,147",active,,,2017,,"3,040,000",,,,,,,,,,,,,,
2260,Brandon Oaks T,,Brandon Oaks Milledge Extension,"13,233",active,1994,,23,,,,,,,,,,,,,,,,
2261,Brandon Oaks U,,Brandon Oaks Milledge Extension,"13,233",active,1994,,23,,,,,,,,,,,,,,,,
2262,Brandon Oaks V,,Brandon Oaks Milledge Extension,"11,145",active,1994,,23,,,,,,,,,,,,,,,,
55,Brooks Hall,,138 Brooks Hall,"98,397",active,,,2017,,,,,,,,,,,,,,,,
2213,Brumby Hall,,615 Baxter St,"210,483",active,1966,,51,,,,,,,,,,,,,,,,
,Building 1516,,395 River Rd,"189,602",active,2009,,8,,,Housing,,,,,,,,,,,,,
110,Business Services,,210 Spring St,"58,333",active,,,2017,,,,,,,,,,,,,,,,
6314,Business Services Annex,,210 Spring St,"10,980",active,,,2017,,,,,,,,,,,,,,,,
1671,Butts-Mehre Building,,1 Selig Circle,"53,000",active,1987,2012,30,,"33,500,000",,,,,,,,,,,,,,
,CAGTECH,,111 Riverbend Rd,,active,2002,,15,,,,,,,,,,,,,,,,
46,Caldwell Hall,,302 Herty Drive Athens,"75,185",active,,,2017,,,,,,,,,,,,,,,,
2118,Campus Mail/Environmental Safety,,240A Riverbend Rd.,"16,313",active,,,2017,,,,,,,,,,,,,,,,
1637,Campus Transit Facility,,2505 Riverbend Rd.,"16,786",active,,,2017,,,,,,,,,,,,,,,,
31,Candler Hall,,202 Herty Drive,"19,820",active,1902,2003,115,,"3,000,000",,,,,,,,,,,,,,
1110,Carlton Street Deck,,125 Smith St,"256,088",active,2004,,13,,,,,,,,,,,,,,,,
2419,CCRC,,315 Riverbend Road,"147,991",active,2003,,14,,,,,,,,,,,,,,,,
,Center for Applied Isotope Study,,120 Riverbend Road,,active,,,2017,,,,,,,,,,,,,,,,
2006,Central Campus Mech. Building,,597 D. W. Brooks Dr.,170,active,,,2017,,,,,,,,,,,,,,,,
2122,Central Food Storage,,1075 Brady Avenue N.W.,"29,565",active,,,2017,,,,,,,,,,,,,,,,
1620,Central Heating Plant 1,,1180 E. Broad St.,"6,332",active,,,2017,,,,,,,,,,,,,,,,
,Central Heating Plant 2,,1181 E. Broad St.,"6,332",active,,,2017,,,,,,,,,,,,,,,,
,Central Office Supply,,120 First St.,,active,,,2017,,,,,,,,,,,,,,,,
2680,Ceramics,,270 River Road,"5,232",active,,,2017,,,,,,,,,,,,,,,,
5055,Chapel,,109 Herty Field,"8,374",active,1832,,185,,,,,,,,,,,,,,,,
1001,Chemistry,,140 Cedar St,"185,341",active,,,2017,,,,,,,,,,,,,,,,
1004,Chemistry Annex,,140 Cedar St.,"20,100",active,,,2017,,,,,,,,,,,,,,,,
101,Chicopee Main Building No.1,,1180 East Broad Street,"252,208",active,,,2017,,,,,,,,,,,,,,,,
1652,Child Development Laboratory,,305 Sanford Dr,"22,267",active,1984,2011,33,,,,,,,,,,,,,,,,
2215,Church Hall,,880 Lumpkin Street,"33,423",active,1961,,56,,,,,,,,,,,,,,,,
290,Clark Howell Hall,,825 S Lumpkin St,"33,723",active,1936,2017,81,,,,,,,,,,,,,,,,
1656,Cobb House,,1224 South Lumpkin Street,"2,212",active,,,2017,,,,,,,,,,,,,,,,
1687,Coliseum Training Facility,,90 Smith Street Athens,"130,675",active,2007,,10,,,,,,,,,,,,,,,,
1070,College of Veterinary Medicine 1,,2200 College Station Road,"291,339",active,,2012,2017,,,,,,,,,,,,,,,,
1011,Conner Hall,,147 Cedar Street Athens,"53,766",active,,,2017,,,,,,,,,,,,,,,,
1248,Consumer Research Center,,415 Sanford Dr.,"3,501",active,,,2017,,,,,,,,,,,,,,,,
1042,Coop. Ext.Serv. - Hoke Smith,,300 Carlton St.,"25,413",active,,,2017,,,,,,,,,,,,,,,,
,Correll Hall,,600 S. Lumpkin Street,"74,000 sq./ft.",active,,,2017,,,,,,,,,,,,,,,,
1111,Coverdell Hall,,500 D. W. Brooks Dr,"140,000 sq.ft.",active,2006,,11,,"3,150,000",,,,,,,,,,,,,,
,Creative Problem Solving Lab,,1242 1/2 S. Lumpkin St.,,active,,,2017,,,,,,,,,,,,,,,,
2211,Creswell Hall,,415 Baxter Street,"192,567",active,1963,,54,,,,,,,,,,,,,,,,
1030,Dance,,263 Dance Building,"97,489",active,,,2017,,,,,,,,,,,,,,,,
1057,Davison Life Sciences Complex,,120 East Green St.,"260,719",active,,,2017,,,,,,,,,,,,,,,,
1010,Dawson Hall,,305 Sanford Dr,"81,804",active,,,2017,,,,,,,,,,,,,,,,
45,Dean Rusk Hall,,225 Herty Drive Athens,"37,751",active,,,2017,,,,,,,,,,,,,,,,
21,Demosthenian Hall,,105 Herty Dr.,"2,770",active,1824,1997,193,,,,,,,,,,,,,,,,
44,Denmark Hall,,115 Bocock Street,"19,637",active,,,2017,,,,,,,,,,,,,,,,
,District Energy Plant 1,,1180 E Broad St,,active,,,2017,,,,,,,,,,,,,,,,
,District Energy Plant 2,,1180 E Broad St,,active,,,2017,,,,,,,,,,,,,,,,
,Drawing & Painting Studios,,270 River Road,,active,,,2017,,,,,,,,,,,,,,,,
1090,Driftmier Engineering Center,,597 D. W. Brooks Dr.,"97,442",active,,,2017,,,,,,,,,,,,,,,,
,East Campus Village,,365 River Rd.,"52,000",active,2004,,13,,"65,000,000",,,,,,,,,,,,,,
1698,East Campus Deck,,300 River Rd.,"336,741",active,2002,,15,,,,,,,,,,,,,,,,
