Building Num.,Building Name,Address,GSF,Construction Date,Rennovation,Reovation Cost,Age,Usage,LEED Certification,LEED Certification Year,X,Y,,,,,,,,,,,,
1,Taylor Education Bldg,597 S Upper St,,,,,,,,,,,,,,,,,,,,,,
2,Scott Street Bldg,110 Scott St,,,,,,,,,,,,,,,,,,,,,,
3,Research Facility #1,111 Washington Ave,,,,,,,,,,,,,,,,,,,,,,
4,Central Heating Plant #2,598 S Upper St,,,,,,,,,,,,,,,,,,,,,,
5,Frank D. Peterson Service Bldg,411 S Limestone St,,,,,,,,,,,,,,,,,,,,,,
9,Patterson Hall,335 S Martin Luther King Blvd,,,,,,,,,,,,,,,,,,,,,,
12,Blazer Dining,343 S. Martin Luther King Blvd,,,,,,,,,,,,,,,,,,,,,,
14,Hilary J. Boone Center,500 Rose St,,,,,,,,,,,,,,,,,,,,,,
15,William B. Sturgill Development Bldg,450 Rose St,,,,,,,,,,,,,,,,,,,,,,
16,Gatehouse KY Clinic,140 Huguelet Dr,,,,,,,,,,,,,,,,,,,,,,
17,Dickey Hall,251 Scott St,,,,,,,,,,,,,,,,,,,,,,
19,Memorial Coliseum,201 Ave of Champions,,,,,,,,,,,,,,,,,,,,,,
20,Engineering Transportation Research Garage,531 S Limestone St,,,,,,,,,,,,,,,,,,,,,,
21,Old Engineers Residence,421 Rose St,,,,,,,,,,,,,,,,,,,,,,
22,Fine Arts Guignol Bldg,465 Rose St,,,,,,,,,,,,,,,,,,,,,,
23,Safety & Security,305 Euclid Ave,,,,,,,,,,,,,,,,,,,,,,
24,Lafferty Hall,150 Patterson Dr,,,,,,,,,,,,,,,,,,,,,,
25,White Hall Classroom Bldg,140 Patterson Dr,,,,,,,,,,,,,,,,,,,,,,
27,Patterson Office Tower,120 Patterson Dr,,,,,,,,,,,,,,,,,,,,,,
28,Barker Hall,408 Administration Dr,,,,,,,,,,,,,,,,,,,,,,
31,Frazee Hall,406 Administration Dr,,,,,,,,,,,,,,,,,,,,,,
32,Main Building,410 Administration Dr,,,,,,,,,,,,,,,,,,,,,,
33,Ezra Gillis Bldg,502 Administration Dr,,,,,,,,,,,,,,,,,,,,,,
34,Carol Martin Gatton Business & Economics Bldg,550 S Limestone St,,,,,,,,,,,,,,,,,,,,,,
35,Miller Hall,504 Administration Dr,,,,,,,,,,,,,,,,,,,,,,
36,Gatehouse Gate 2,620 Gladstone Ave,,,,,,,,,,,,,,,,,,,,,,
38,Engineering Annex,169 Funkhouser Dr,,,,,,,,,,,,,,,,,,,,,,
39,Margaret I. King Library,179 Funkhouser Dr,,,,,,,,,,,,,,,,,,,,,,
40,Maxwell Place,471 Rose St,,,,,,,,,,,,,,,,,,,,,,
41,Pence Hall,175 Funkhouser Dr,,,,"$6,810,000 ",,,,,,,,,,,,,,,,,,
42,Grehan Journalism Bldg,167 Funkhouser Dr,,,,,,,,,,,,,,,,,,,,,,
43,S. J. Sam Whalen Bldg,533 S. Limestone St,,,,,,,,,,,,,,,,,,,,,,
44,Kastle Hall,171 Funkhouser Dr,,,,,,,,,,,,,,,,,,,,,,
45,McVey Hall,155 Graham Ave,,,,,,,,,,,,,,,,,,,,,,
46,Anderson Hall Tower,512 Administration Dr,"61,000",2002,,,,,,,,,,,,,,,,,,,,
47,C. W. Mathews Bldg,606 S Limestone St,,,,,,,,,,,,,,,,,,,,,,
48,Law Building,620 S Limestone St,,,,,,,,,,,,,,,,,,,,,,
49,Memorial Hall,610 S Limestone St,,,,,,,,,,,,,,,,,,,,,,
50,Erikson Hall,135 Graham Ave,,,,,,,,,,,,,,,,,,,,,,
51,Mineral Industries Bldg,120 Graham Ave,,,,,,,,,,,,,,,,,,,,,,
52,Terrell Civil Engineering Bldg,140 Graham Ave,,,,,,,,,,,,,,,,,,,,,,
53,Slone Research Bldg,121 Washington Ave,,,,,,,,,,,,,,,,,,,,,,
54,Funkhouser Bldg,160 Funkhouser Dr,,,,,,,,,,,,,,,,,,,,,,
55,Chemistry-Physics Building,505 Rose St,,,,,,,,,,,,,,,,,,,,,,
56,Breckinridge Hall,168 Funkhouser Dr,,,,,,,,,,,,,,,,,,,,,,
57,Kinkead Hall,172 Funkhouser Dr,,,,,,,,,,,,,,,,,,,,,,
58,Bradley Hall,545 Rose St,,,,"$8,720,000 ",,,,,,,,,,,,,,,,,,
59,Bowman Hall,565 Rose St,,,,,,,,,,,,,,,,,,,,,,
61,Tobacco Research Laboratory,150 Washington Ave,,,,,,,,,,,,,,,,,,,,,,
63,Shed By Ecological Research,1685 Russell Cave Rd,,,,,,,,,,,,,,,,,,,,,,
64,Scovell Hall,115 Huguelet Dr,,,,,,,,,,,,,,,,,,,,,,
65,Small Animal Lab,150 Huguelet Dr,,,,,,,,,,,,,,,,,,,,,,
66,Agronomy Head House and Greenhouses 1 & 2,152 Huguelet Dr,,,,,,,,,,,,,,,,,,,,,,
67,Chi Omega Sorority,456 Rose St,,,,,,,,,,,,,,,,,,,,,,
68,Delta Delta Delta Sorority,468 Rose St,,,,,,,,,,,,,,,,,,,,,,
69,Alpha Delta Pi Sorority,476 Rose St,,,,,,,,,,,,,,,,,,,,,,
73,Thomas Poe Cooper Bldg,730 Rose St,,,,,,,,,,,,,,,,,,,,,,
74,Shively Track & Field Stadium,698 Sports Center Dr,,,,,,,,,,,,,,,,,,,,,,
75,Kelley Hall,360 Huguelet Dr,,,,,,,,,,,,,,,,,,,,,,
76,Dimock Animal Pathology,1081 Veterans Drive,,,,,,,,,,,,,,,,,,,,,,
77,653 Maxwelton Ct,653 Maxwelton Ct,,,,,,,,,,,,,,,,,,,,,,
78,Med Center Annex #5,1096 Veterans Drive,,,,,,,,,,,,,,,,,,,,,,
81,Cooker Trailer Storage,680 Rose St,,,,,,,,,,,,,,,,,,,,,,
82,Multi-Disciplinary Science Building (MDS),725 Rose St,,,,,,,,,,,,,,,,,,,,,,
84,Gatehouse Roach Bldg,750 Rose St,,,,,,,,,,,,,,,,,,,,,,
85,Medical Center Heating and Cooling Plant,151 Hospital Drive,,,,,,,,,,,,,,,,,,,,,,
86,Medical Behavioral Science Building,1100 Veterans Drive,,,,,,,,,,,,,,,,,,,,,,
87,Medical Center Storage Facility,1530 College Way,,,,,,,,,,,,,,,,,,,,,,
88,Agriculture Motor Pool,1505 College Way,,,,,,,,,,,,,,,,,,,,,,
89,Cooling Plant #1,195 Hospital Drive,,,,,,,,,,,,,,,,,,,,,,
90,Art and Visual Studies Building,236 Bolivar St,,,,,,,,,,,,,,,,,,,,,,
91,Agriculture Science Center North,1100 South Limestone Street,,,,,,,,,,,,,,,,,,,,,,
92,Seed House,150 Hospital Drive,,,,,,,,,,,,,,,,,,,,,,
93,Ben F. Roach Cancer Care Facility (Pavilion CC),750 Rose St,,,,,,,,,,,,,,,,,,,,,,
94,Cooper House,1312 Nicholasville Rd,,,,,,,,,,,,,,,,,,,,,,
95,Frances Jewell Hall,344 S Martin Luther King Blvd,,,,,,,,,,,,,,,,,,,,,,
96,Dorothy Enslow Combs Cancer Research Building,744 Rose St,,,,,,,,,,,,,,,,,,,,,,
97,E. S. Good Barn,1451 University Dr,,,,,,,,,,,,,,,,,,,,,,
98,Marylou Whitney and John Hendrickson Cancer Facility for Women (Pavilion WH),740 Rose St,,,,,,,,,,,,,,,,,,,,,,
99,Gluck Equine Research Bldg,1400 Nicholasville Rd,,,,,,,,,,,,,,,,,,,,,,
100,Haggin Hall,325 Huguelet Dr,,,,,,,,,,,,,,,,,,,,,,
101,Reynolds Warehouse #1,349 Scott St,,,,,,,,,,,,,,,,,,,,,,
102,Reynolds Warehouse #2,351 Scott St,,,,,,,,,,,,,,,,,,,,,,
104,Woodland Glen I,720 Woodland Ave,,,,,,,,,,,,,,,,,,,,,,
105,Commonwealth Village #2,1435 Nicholasville Rd,,,,,,,,,,,,,,,,,,,,,,
106,Commonwealth Village #1,1435 Nicholasville Rd,,,,,,,,,,,,,,,,,,,,,,
107,Mining & Minerals Resources Bldg,504 Rose St,,,,,,,,,,,,,,,,,,,,,,
108,Center for Robotics & Manufacturing Systems,143 Graham Ave,,,,,,,,,,,,,,,,,,,,,,
109,Wendell & Vickie Bell Soccer Complex,550 Wildcat Ct,,,,,,,,,,,,,,,,,,,,,,
110,Maintenance Bldg (Athletics),704 Sports Center Dr,,,,,,,,,,,,,,,,,,,,,,
