Number,Building Name,Construction Date,Age,Occupancy Date,Construction Type,Stories,Usage,Gross SqFt.,Address,X,Y,LEED Building,LEED Building Year,,,,,,,,,,,
50131900,11th Street Parking Garage,2003,14,,Masonry frame w,10,Aux,466241,1101 Cumberland Avenue,35.9597059,-83.9252861,,,,,,,,,,,,,
50128100,1525 University Avenue,2002,15,,,2,Sup,15800,1525 University Avenue,44.5122769,-87.9849481,,,,,,,,,,,,,
50128300,1610 University Avenue,2002,15,,,2,Sup,28500,1610 University Avenue,37.3334875,-121.9291993,,,,,,,,,,,,,
50131600,1817 Melrose Avenue,1940,77,,Wood frame w/ b,3,Ac,4316,1817 Melrose Avenue,35.953643,-83.933192,,,,,,,,,,,,,
50129800,2101 Terrace Avenue,1940,77,,Wood frame w/ b,3,Ac,3802,2101 Terrace Avenue,30.4367388,-91.1665354,,,,,,,,,,,,,
50981000,2104 Lake Avenue,1930,87,,,2,Sup,1842,2104 Lake Avenue,43.2631473,-86.2569404,,,,,,,,,,,,,
50125400,2106 Terrace Avenue,1975,42,,Wood frame w/ b,3,Sup,2591,2106 Terrace Avenue,30.4366226,-91.1664615,,,,,,,,,,,,,
50125600,2110 Terrace Avenue,1940,77,,Wood frame w/ b,3,Sup,2592,2110 Terrace Avenue,30.4366238,-91.1664165,,,,,,,,,,,,,
50137300,2111 Stephenson Dr - Warehousing Offices,1990,27,3/8/06,Trailer/portabl,1,Sup,1921,2111 Stephenson Drive,35.9457996,-83.9299454,,,,,,,,,,,,,
50137800,2121 Stephenson Drive,1995,22,,Steel frame w/,2,Aux,200611,2121 Stephenson Drive,35.9462509,-83.9303,,,,,,,,,,,,,
50137600,22nd Street Duplex,1930,87,,,4,Sup,5694,913 & 915 22nd Street,35.9524989,-83.9384717,,,,,,,,,,,,,
50132400,701 16th Street,1940,77,,Masonry frame w,2,Sup,1648,701 16th Street,38.5811053,-121.483589,,,,,,,,,,,,,
50136000,908 21st Street (new Design House),1940,77,,Wood frame w/ b,4,Sup,3568,908 21st Street,34.035772,-118.487026,,,,,,,,,,,,,
50121400,Administration Parking Garage,1967,50,,"Concrete, reinf",2,Aux,416762,1530 Lake Loudon Blvd,35.9500926,-83.9261702,,,,,,,,,,,,,
50144800,Alpha Chi Omega Sorority,2012,5,,,3,Aux,15000,2912 Sorority Village Circle,35.9505904,-83.9447806,,,,,,,,,,,,,
50145200,Alpha Delta Pi Sorority,2012,5,,,3,Aux,17500,2621 Ann Baker Furrow Blvd,35.950574,-83.945657,,,,,,,,,,,,,
50115200,Alpha Gamma Rho Fraternity,1965,52,,"Concrete, reinf",3,Aux,10300,1840 Fraternity Park Drive,35.9480649,-83.9329235,,,,,,,,,,,,,
50145100,Alpha Kappa Alpha Sorority/UT Panhellenic,2012,5,,,2,Aux,6000,2629 Ann Baker Furrow Blvd,35.950574,-83.945657,,,,,,,,,,,,,
50145000,Alpha Omicron Pi Sorority,2012,5,,,2,Aux,17000,2509 Ann Baker Furrow Blvd,35.950574,-83.945657,,,,,,,,,,,,,
50115300,Alpha Tau Omega Fraternity House,1965,52,,"Concrete, reinf",3,Aux,15927,1812 Fraternity Park Drive,35.9502203,-83.9311675,,,,,,,,,,,,,
50170900,Alternative Energy Research Support Bldg 1,2011,6,5/1/11,,1,Ac,424,1760 Alcoa Hwy,35.9395729,-83.9489069,,,,,,,,,,,,,
50110500,Alumni Memorial Building,1932,85,,Steel frame w/,6,Ac,102893,1408 Middle Drive,35.9561045,-83.9262747,,,,,,,,,,,,,
50137100,Anderson Training Center,2013,4,3/8/13,,4,Aux,146944,1551 Lake Loudoun Blvd,35.9503669,-83.9265357,,,,,,,,,,,,,
50110220,Andy Holt Tower,1968,49,,"Concrete, reinf",13,Sup,104095,1331 Circle Park,41.8621318,-87.8077575,,,,,,,,,,,,,
50161900,Animal Science Laboratory,1946,71,,Masonry frame w,1,Ac,1479,2429 Fletcher Luck Lane,35.947043,-83.9383673,,,,,,,,,,,,,
50130800,Aramark Food Court,2014,3,,"Concrete, reinf",1,Sup,10000,1659 Cumberland Avenue,35.9567336,-83.9321623,,,,,,,,,,,,,
50127600,Architecture Research Annex,1940,77,,Wood frame w/ b,3,Sup,2537,2124 Terrace Avenue,30.4366296,-91.1661881,,,,,,,,,,,,,
50110600,Art and Architecture Building,1975,42,,"Concrete, reinf",4,Ac,183305,1715 Volunteer Boulevard,35.952525,-83.9295891,,,,,,,,,,,,,
50110100,Austin Peay Building,1910,107,,Masonry frame w,5,Ac,62884,1404 Circle Drive,35.9571231,-83.926985,,,,,,,,,,,,,
50136500,Auxiliary Services Building,1961,56,2/1/88,Steel frame w/,1,Sup,55667,2021 Stephenson Drive,35.94668,-83.927779,,,,,,,,,,,,,
50111300,Ayres Hall,1921,96,,"Concrete, reinf",6,Ac,116555,1403 Circle Drive,31.7750511,-106.483996,Silver,,,,,,,,,,,,
50166300,Bealle Rose Garden Gazebo,2009,8,,,1,Aux,346,,,,,,,,,,,,,,,,
50111500,Berry Hall,1939,78,,Masonry frame w,4,Ac,7128,1410 Tee Martin Drive,35.9553868,-83.9241491,,,,,,,,,,,,,
50160800,BESS Storage Building,2006,11,3/20/06,Other structura,1,Sup,819,2506 EJ Chapman Drive,35.9487672,-83.9406283,,,,,,,,,,,,,
50160900,BESS Tank & Equipment Storage,1983,34,,,0,,625,2506 EJ Chapman Drive,35.9487672,-83.9406283,,,,,,,,,,,,,
