Bldg Num,Building Name,Abbrev,Address,GSF,Own / Lease,Status,Class,Year,Age,LEED Level,LEED Certification Year,X,Y,,,,,,,,,,,
2406,Commerce Street Warehouse,CSWH,3120 Commerce Street,3200,Leased,Active,Building,0,2017,,,-37.9574773,176.9936282,,,,,,,,,,,
9999,Dummy Building [Farrar Hall],DUMMY,Dummy Street,0,,Active,Location,0,2017,,,-34.0569681,23.375195,,,,,,,,,,,
2550,Haiti House,,17 Bas Aviation,200,,Terminated,Building,0,2017,,,-33.9179943,150.9914045,,,,,,,,,,,
2515,Senegal Cbaer Project,OC2515,Ngor Street #26,4305,Leased,Active,Building,0,2017,,,11.5220096,104.8522657,,,,,,,,,,,
317,Residence,DC0317,165 Dairy Road,1138,Owned,Active,Building,1955,62,,,20.8803931,-156.4565625,,,,,,,,,,,
485,Equipment Shed,,395 Dairy Road,4565,,Demolished,Building,1962,55,,,20.8843727,-156.453843,,,,,,,,,,,
2561,Paragon Elite Apartments,,1310 Madison Street,850,,Terminated,Building,0,2017,,,26.0068875,-80.1327645,,,,,,,,,,,
281,Cheds [Library Annex],CHEDS,Us 460 And Rt. 811,20000,,Terminated,Building,1968,49,,,26.1278106,-80.1407465,,,,,,,,,,,
737,Riverside Center 3,RCTR3,3 Riverside Circle,7305,Leased,Active,Building,2007,10,,,26.150282,-81.786837,,,,,,,,,,,
2447,Conservation Management Institute Iii,,Building 730,4022,,Terminated,Building,0,2017,,,26.3117302,50.1314065,,,,,,,,,,,
2178,Reeds Beach,,38 South Beach Drive,600,,Terminated,Building,0,2017,,,27.0625182,-80.1144582,,,,,,,,,,,
2352,Morris Apartments,,15010 Leeward Drive,1650,,Terminated,Building,0,2017,,,27.6060477,-97.2109315,,,,,,,,,,,
2499,House Of Crawford,,86 North Beach Drive,600,,Terminated,Building,0,2017,,,27.7719025,-82.6332231,,,,,,,,,,,
2256,Underwood Storage,,300 North Franklin Street,2170,,Terminated,Building,0,2017,,,27.947022,-82.457891,,,,,,,,,,,
476,Dairy Barn And Milk House / Office Building,,Dairy Road,13320,,Demolished,Building,1950,67,,,28.0601386,-80.6380556,,,,,,,,,,,
0476C,Silo,,Dairy Road,0,,Demolished,Structure,1950,67,,,28.0601386,-80.6380556,,,,,,,,,,,
0476B,Silo,,Dairy Road,0,,Demolished,Structure,1950,67,,,28.0601386,-80.6380556,,,,,,,,,,,
0476A,Silo,,Dairy Road,0,,Demolished,Structure,1950,67,,,28.0601386,-80.6380556,,,,,,,,,,,
478,Hay Drying / Machine Shed,,Dairy Road,1352,,Demolished,Structure,1954,63,,,28.0601386,-80.6380556,,,,,,,,,,,
484,Bull Barn,,Dairy Road,2607,,Demolished,Building,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
483,Calf Barn,,Dairy Road,6601,,Demolished,Building,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0482C,Chopped Hay Feeder - C,,Dairy Road,391,,Demolished,Building,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0482D,Chopped Hay Feeder - D,,Dairy Road,391,,Demolished,Building,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
482,Choreboy Barn,,Dairy Road,4961,,Demolished,Building,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0482E,Choreboy Feed Trough,,Dairy Road,184,,Demolished,Structure,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0481C,Ensilage Feeder,,Dairy Road,1188,,Demolished,Building,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0490B,Equipment Shed,,Dairy Road,2100,,Sold,Structure,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
486,Equipment Shed,,Dairy Road,2700,,Demolished,Structure,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0483A,Grain Bin,,Dairy Road,160,,Demolished,Structure,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0491A,Grain Bin,,Dairy Road,576,,Demolished,Structure,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0491B,Grain Bin,,Dairy Road,576,,Demolished,Structure,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0492A,Grain Tank,,Dairy Road,144,,Demolished,Structure,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
481,Loafing Barn,,Dairy Road,4961,,Demolished,Building,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0490A,Machinery Storage Shed / Feed Pens,,Dairy Road,3150,,Sold,Structure,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0482B,Old Calan Feed Area,,Dairy Road,1100,,Demolished,Building,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0482A,Old Calan Feed Mix Barn,,Dairy Road,1083,,Demolished,Building,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0484A,Silo,,Dairy Road,314,,Demolished,Structure,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0481D,Silo,,Dairy Road,123,,Demolished,Structure,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0481E,Silo,,Dairy Road,123,,Demolished,Structure,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0484B,Silo,,Dairy Road,314,,Demolished,Structure,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
0484C,Three Grain Bins,,Dairy Road,0,,Demolished,Structure,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
490,Young Stock Barn,,Dairy Road,6631,,Sold,Building,1962,55,,,28.0601386,-80.6380556,,,,,,,,,,,
488,New Bull Barn,,Dairy Road,7087,,Demolished,Building,1983,34,,,28.0601386,-80.6380556,,,,,,,,,,,
489,New Heifer Barn,,Dairy Road,3040,,Demolished,Building,1983,34,,,28.0601386,-80.6380556,,,,,,,,,,,
0488A,Pen Pointer Facility At New Bull Barn,,Dairy Road,1220,,Demolished,Building,1983,34,,,28.0601386,-80.6380556,,,,,,,,,,,
493,Shed,,Dairy Road,360,,Demolished,Structure,1985,32,,,28.0601386,-80.6380556,,,,,,,,,,,
0477A,Sewage Lagoon,,Dairy Road,0,,Demolished,Structure,1995,22,,,28.0601386,-80.6380556,,,,,,,,,,,
0477B,Sewage Tank,,Dairy Road,0,,Demolished,Structure,1995,22,,,28.0601386,-80.6380556,,,,,,,,,,,
492,Dry Stack Manure Barn,,Dairy Road,5000,,Demolished,Building,2001,16,,,28.0601386,-80.6380556,,,,,,,,,,,
472,Dry Stack Manure Barn,,Dairy Road,6256,,Demolished,Building,2004,13,,,28.0601386,-80.6380556,,,,,,,,,,,
473,Free Stall Barn,,Dairy Road,43250,,Demolished,Building,2004,13,,,28.0601386,-80.6380556,,,,,,,,,,,
471,Pump House,,Dairy Road,87,,Demolished,Building,2004,13,,,28.0601386,-80.6380556,,,,,,,,,,,
0477E,Settlement Basin,,Dairy Road,0,,Demolished,Structure,2004,13,,,28.0601386,-80.6380556,,,,,,,,,,,
0477D,Sewage Tank,,Dairy Road,0,,Demolished,Structure,2004,13,,,28.0601386,-80.6380556,,,,,,,,,,,
0477C,Sewage Tank,,Dairy Road,0,,Demolished,Structure,2004,13,,,28.0601386,-80.6380556,,,,,,,,,,,
0469B,Bunker Silos,,Dairy Road,9000,,Demolished,Structure,2005,12,,,28.0601386,-80.6380556,,,,,,,,,,,
0469C,Commodities Shed,,Dairy Road,1947,,Demolished,Building,2005,12,,,28.0601386,-80.6380556,,,,,,,,,,,
0469A,Hay Barn,,Dairy Road,3200,,Demolished,Building,2005,12,,,28.0601386,-80.6380556,,,,,,,,,,,
