CAMPUS,BLDGNAME,Address,LEVELS,GROSS_SF,NSF,ASF,CONSTRUCTYR,Construction Cost,AGE,BUILDING TYPE,,,,,,,,,,,,,,
Downtown Campus,Boreman RFL Garage,617 Spruce Street,1,672,588,588,2005,,12,Building,,,,,,,,,,,,,,
Downtown Campus,Center For Black Culture and Research,590 Spruce Street,4,"4,933","3,237","2,483",1944,,73,Building,,,,,,,,,,,,,,
Downtown Campus,Boreman RFL Facility,617 Spruce Street,3,"8,894","7,431","5,468",1989,,28,Building,,,,,,,,,,,,,,
Downtown Campus,Arnold Hall,345 Prospect Street,6,"103,808","83,175","65,612",1957,,60,Building,,,,,,,,,,,,,,
Downtown Campus,Boreman Hall South,602 North High Street,6,"100,152","73,966","62,255",1935,,82,Building,,,,,,,,,,,,,,
Downtown Campus,Boreman Hall North,600 North High Street,5,"69,389","56,481","39,674",1959,,58,Building,,,,,,,,,,,,,,
Downtown Campus,Dadisman Hall,693 North High Street,8,"101,261","89,232","69,436",1942,,75,Building,,,,,,,,,,,,,,
Downtown Campus,Stalnaker Hall,691 North High Street,6,"129,199","81,290","56,886",1918,,99,Building,,,,,,,,,,,,,,
Downtown Campus,Student Services Center,700 College Avenue,3,"14,753","12,370","8,561",1940,,77,Building,,,,,,,,,,,,,,
Downtown Campus,Mountainlair,1550 University Avenue,5,"227,821","217,729","124,120",1968,,49,Building,,,,,,,,,,,,,,
Downtown Campus,Stewart Hall,1500 University Avenue,4,"39,082","28,382","20,553",1902,,115,Building,,,,,,,,,,,,,,
Downtown Campus,Clark Hall,100 Prospect Street,6,"131,326","104,706","56,009",1925,,92,Building,,,,,,,,,,,,,,
Downtown Campus,Mountainlair Parking Garage,Prospect Street,2,"163,962","160,072","158,353",1966,,51,Building,,,,,,,,,,,,,,
Downtown Campus,Chemistry Research Laboratory,150 Prospect Street,7,"87,047","71,945","47,176",1968,,49,Building,,,,,,,,,,,,,,
Downtown Campus,Downtown Chiller Plant,1424 University Avenue,5,"26,112","12,368",-,2008,,9,Building,,,,,,,,,,,,,,
Downtown Campus,"Charles C. Wise, Jr. Library",1549 University Ave.,10,"112,145","73,441","59,155",1931,,86,Building,,,,,,,,,,,,,,
Downtown Campus,White Hall,135 Willey Street,7,"134,134","106,196","59,378",1942,,75,Building,,,,,,,,,,,,,,
Downtown Campus,Banking Machine,1550 University Avenue,1,42,24,24,2005,,12,Other,,,,,,,,,,,,,,
Downtown Campus,The New Downtown Library,1549 University Ave.,8,"213,892","123,850","100,516",2000,,17,Building,,,,,,,,,,,,,,
Downtown Campus,Eiesland Hall,128 Hough Street,7,"60,183","39,016","21,791",1954,,63,Building,,,,,,,,,,,,,,
Downtown Campus,Hodges Hall,127 Hough Street,7,"94,718","83,321","54,750",1950,,67,Building,,,,,,,,,,,,,,
Downtown Campus,Admissions and Records,1 Waterfront Pl,3,"11,100","10,003","8,237",1960,,57,Building,,,,,,,,,,,,,,
Downtown Campus,Colson Hall,1503 University Avenue,5,"46,744","30,522","17,150",1925,,92,Building,,,,,,,,,,,,,,
Downtown Campus,Purinton House,1505 University Avenue,4,"13,353","11,495","7,272",1905,,112,Building,,,,,,,,,,,,,,
